TRAINING
winner victory
ballerina grace
invalid illness
expert knowledge
development draft
nun chastity
millionaire wealth
administrator power
child innocence
athlete skinny
society citizen
corpse death
menopause emotional
forgetful aloof
star brightness
ascetic austerity
pacifist peace
saint holiness
soldier war
ice cold
scholar intelligence
fire warmth
psychotic insanity
entrepreneur wealth
baby helpless
virgin purity
TUNING
coward fear
prisoner punishment
child youth
TEST
armistice peace
idiot stupidity
millionaire riches
