TRAINING
traveler destination
painter portrait
workers salary
doctor wellness
student degree
farmer food
farmer harvest
athlete record
mediator reconciliation
dancer applause
politician office
addict fix
student graduation
lawyer justice
students graduation
runner finish
patient health
singer contract
chef meal
christian heaven
midwife babies
gambler millionaire
athlete championship
man sex
team trophy
TUNING
seamstress dress
arsonist fire
musician applause
TEST
astronaut space
athlete medal
hunter prey
