TRAINING
wood fireplace
keys car
electricity television
faith believe
fire barbeque
battery phone
electricity tv
teacher learn
monitor computer
lease apartment
oil lamp
battery flashlight
electricity stove
bullet gun
battery laptop
match wood
loom cloth
water irrigation
water bathtub
camera film
food eat
water shower
motor boat
bulb flashlight
TUNING
mouse computer
license drive
gas furnace
TEST
electricity lamp
batteries controller
chemical firework
remote tv
brush paint
sunlight photosynthesis
remote television
