TRAINING
citation violation
cry help
badge authority
lightning thunder
pregnancy baby
sign direction
green go
buzzer end
wrinkle age
compass direction
rain storm
engagement wedding
bell dinner
crossbones poison
handshake agreement
cross faith
cloud moisture
crown royalty
license permission
crown sovereignty
thunder storm
smoke fire
red stop
surgery hospital
yellow caution
flashing caution
warning trouble
TUNING
doctor diagnosis
alarm action
camera distrust
TEST
smile happiness
diploma education
flag nation
