TRAINING
title story
sugar cookies
paperwork appointment
searing roasting
letter word
trial arrest
lay sleep
meal dessert
start finish
ingestion digestion
hydrogen water
windup pitch
step journey
letters word
kindergarten preschool
performance applause
letter postscript
thread shirt
flirtation tryst
wheel car
shoot recoil
inhale smell
previews movie
beginning middle
TUNING
reach touch
preview movie
pregnancy birth
TEST
word sentence
kiss intercourse
conception birth
text index
introduction speech
introduction conclusion
foreword novel
