TRAINING
reach touch
wheel car
title story
introduction conclusion
beginning middle
thread shirt
letter postscript
text index
conception birth
hydrogen water
ingestion digestion
performance applause
foreword novel
introduction speech
step journey
preview movie
trial arrest
pregnancy birth
word sentence
kindergarten preschool
previews movie
kiss intercourse
windup pitch
inhale smell
flirtation tryst
letters word
searing roasting
lay sleep
TUNING
paperwork appointment
meal dessert
start finish
TEST
sugar cookies
letter word
shoot recoil
