TRAINING
month months
decision decisions
case cases
child children
game games
car cars
talk talks
patient patients
expert experts
death deaths
mile miles
official officials
business businesses
effort efforts
point points
person people
foot feet
way ways
system systems
project projects
state states
product products
school schools
artist artists
drug drugs
agency agencies
player players
candidate candidates
concern concerns
service services
analyst analysts
woman women
operation operations
party parties
team teams
man men
report reports
teacher teachers
thing things
plan plans
company companies
student students
parent parents
right rights
job jobs
sport sports
hour hours
issue issues
building buildings
allegation allegations
member members
benefit benefits
condition conditions
day days
group groups
charge charges
event events
street streets
kid kids
dollar dollars
change changes
time times
worker workers
year years
reason reasons
standard standards
week weeks
result results
rule rules
citizen citizens
resident residents
officer officers
price prices
country countries
voter voters
loss losses
weapon weapons
employee employees
question questions
home homes
rate rates
TUNING
authority authorities
problem problems
term terms
number numbers
line lines
investor investors
life lives
minute minutes
sale sales
TEST
family families
city cities
program programs
source sources
friend friends
law laws
owner owners
relation relations
area areas
leader leaders
