TRAINING
law laws
decision decisions
case cases
child children
game games
car cars
talk talks
patient patients
friend friends
death deaths
team teams
thing things
business businesses
effort efforts
point points
person people
foot feet
way ways
system systems
street streets
state states
product products
hour hours
artist artists
drug drugs
source sources
official officials
candidate candidates
month months
service services
relation relations
agency agencies
operation operations
standard standards
line lines
man men
woman women
teacher teachers
family families
officer officers
company companies
project projects
parent parents
right rights
job jobs
sport sports
voter voters
issue issues
building buildings
allegation allegations
member members
city cities
condition conditions
day days
group groups
charge charges
event events
program programs
kid kids
price prices
benefit benefits
time times
worker workers
change changes
reason reasons
expert experts
week weeks
result results
concern concerns
citizen citizens
resident residents
analyst analysts
area areas
country countries
leader leaders
loss losses
weapon weapons
employee employees
question questions
home homes
dollar dollars
TUNING
authority authorities
problem problems
term terms
number numbers
owner owners
investor investors
life lives
minute minutes
sale sales
TEST
player players
year years
student students
report reports
party parties
rule rules
mile miles
plan plans
rate rates
school schools
