TRAINING
raise raises
use uses
prevent prevents
continue continues
accommodate accommodates
start starts
find finds
reduce reduces
need needs
turn turns
save saves
leave leaves
determine determines
say says
stay stays
do does
keep keeps
bring brings
meet meets
decide decides
tell tells
require requires
seem seems
lead leads
pay pays
call calls
support supports
buy buys
feel feels
come comes
go goes
ask asks
hold holds
sell sells
join joins
discuss discusses
preserve preserves
move moves
live lives
improve improves
resolve resolves
think thinks
consider considers
like likes
get gets
avoid avoids
see sees
run runs
return returns
work works
believe believes
extend extends
develop develops
know knows
show shows
take takes
look looks
try tries
become becomes
prove proves
happen happens
accept accepts
give gives
remain remains
begin begins
learn learns
ensure ensures
have has
want wants
earn earns
eliminate eliminates
win wins
protect protects
increase increases
end ends
build builds
create creates
serve serves
recognize recognizes
be is
open opens
TUNING
celebrate celebrates
study studies
promote promotes
understand understands
follow follows
seek seeks
include includes
produce produces
send sends
TEST
provide provides
reach reaches
allow allows
receive receives
play plays
make makes
stop stops
help helps
offer offers
