TRAINING
start starts
use uses
prevent prevents
continue continues
know knows
help helps
provide provides
reduce reduces
believe believes
lead leads
win wins
extend extends
determine determines
preserve preserves
stay stays
do does
seem seems
avoid avoids
play plays
call calls
tell tells
require requires
support supports
want wants
pay pays
like likes
happen happens
run runs
follow follows
keep keeps
show shows
need needs
buy buys
feel feels
go goes
discuss discusses
learn learns
create creates
have has
prove proves
resolve resolves
ask asks
consider considers
make makes
get gets
reach reaches
leave leaves
think thinks
offer offers
receive receives
stop stops
work works
recognize recognizes
remain remains
find finds
take takes
look looks
meet meets
become becomes
end ends
try tries
accept accepts
give gives
decide decides
say says
raise raises
produce produces
allow allows
join joins
earn earns
eliminate eliminates
protect protects
bring brings
accommodate accommodates
live lives
send sends
improve improves
serve serves
study studies
begin begins
see sees
TUNING
celebrate celebrates
sell sells
promote promotes
understand understands
return returns
seek seeks
include includes
save saves
open opens
TEST
turn turns
ensure ensures
move moves
build builds
come comes
increase increases
hold holds
be is
develop develops
