TRAINING
decides decided
builds built
likes liked
recognizes recognized
makes made
opens opened
sends sent
holds held
tells told
does did
seems seemed
provides provided
promotes promoted
stops stopped
sees saw
remains remained
feels felt
calls called
keeps kept
reaches reached
sells sold
proves proved
knows knew
gives gave
stays stayed
looks looked
understands understood
leaves left
changes changed
protects protected
increases increased
resolves resolved
learns learned
discusses discussed
develops developed
lives lived
requires required
raises raised
begins began
pays paid
comes came
tries tried
includes included
joins joined
produces produced
shows showed
seeks sought
finds found
supports supported
gets got
offers offered
starts started
preserves preserved
eliminates eliminated
follows followed
serves served
leads led
ensures ensured
reduces reduced
receives received
ends ended
wants wanted
prevents prevented
accepts accepted
asks asked
improves improved
considers considered
plays played
uses used
is was
saves saved
continues continued
works worked
creates created
avoids avoided
needs needed
determines determined
extends extended
meets met
believes believed
celebrates celebrated
TUNING
helps helped
studies studied
goes went
turns turned
earns earned
accommodates accommodated
allows allowed
runs ran
returns returned
TEST
says said
thinks thought
wins won
happens happened
takes took
becomes became
buys bought
brings brought
moves moved
has had
