TRAINING
include included
ask asked
be was
prove proved
earn earned
pay paid
promote promoted
celebrate celebrated
build built
provide provided
want wanted
understand understood
become became
start started
return returned
avoid avoided
change changed
see saw
find found
offer offered
raise raised
learn learned
discuss discussed
buy bought
end ended
lead led
allow allowed
have had
go went
call called
begin began
create created
improve improved
save saved
develop developed
play played
stay stayed
run ran
leave left
look looked
resolve resolved
come came
follow followed
give gave
keep kept
stop stopped
decide decided
live lived
take took
extend extended
accept accepted
like liked
feel felt
reduce reduced
remain remained
try tried
meet met
send sent
produce produced
ensure ensured
show showed
think thought
need needed
accommodate accommodated
bring brought
join joined
use used
sell sold
hold held
determine determined
happen happened
recognize recognized
preserve preserved
increase increased
protect protected
win won
tell told
help helped
require required
serve served
get got
TUNING
work worked
make made
turn turned
seem seemed
continue continued
receive received
say said
believe believed
reach reached
TEST
consider considered
eliminate eliminated
do did
move moved
know knew
support supported
study studied
prevent prevented
open opened
seek sought
