TRAINING
weld welding
perform performer
sled sledding
sweeten sweetening
dine dining
coexist coexistence
invest investing
camp camper
repulse repulsion
crack cracking
participate participant
duplicate duplication
shop shopping
slug slugger
represent representation
embezzle embezzlement
adapt adaptation
ship shipper
obey obedience
prolong prolongation
shrink shrinkage
couple coupling
weave weaving
starve starvation
scatter scattering
immobilize immobilization
direct directive
knit knitting
enroll enrollment
observe observance
quote quotation
temper tempering
hiss hissing
excise excision
vary variation
distill distillate
solve solving
register registrant
thrash thrashing
exempt exemption
cushion cushioning
web webbing
implicate implication
hinder hindrance
win winning
explore exploration
deactivate deactivation
produce product
drift drifting
electrocute electrocution
pollute pollution
free freeing
throttle throttling
diffuse diffusion
compound compounding
slave slavery
smock smocking
stroll stroller
deduct deduction
smell smelling
pay payer
intoxicate intoxication
envision envisioning
etch etching
instal installing
till tillage
pull pulling
pound pounding
adjudicate judge
interview interviewer
relegate relegation
compile compilation
punch puncher
heal healer
restrain restraint
predispose predisposition
struggle struggler
fill filler
pose posing
schedule scheduler
desalinate desalination
ally alliance
facilitate facilitator
mellow mellowing
overreact overreaction
soar soaring
shape shaping
inflame inflaming
terminate terminus
respond respondent
darken darkening
disavow disavowal
polish polisher
thicken thickener
accentuate accent
root rooting
satisfy satisfaction
charm charmer
interconnect interconnection
investigate investigator
regulate regulation
regenerate regeneration
oxidise oxide
dine dinner
recruit recruiter
keep keeping
adjust adjustment
syndicate syndicator
initiate initiator
annihilate annihilation
maximize maximization
demonstrate demonstration
plunder plundering
tease teasing
corrupt corruption
called calling
induce inducing
guide guidance
moderate curb
warm warming
pipe piping
learn learner
quicken quickening
evade evasion
cede cession
unionize union
agitate agitator
exhume exhumation
join juncture
alter alteration
incarnate incarnation
transgress transgression
idle idling
pace pacer
argue argument
disappear disappearance
accredit accreditation
damn damnation
feed feeder
lubricate lubricant
harmonize harmonization
undress strip
clinch clincher
stretch stretcher
replace replacement
compress compressor
broadcast broadcaster
recede receding
reside residence
contract contracting
dethrone dethronement
depose deposition
protect protection
shade shading
strip stripper
dive diving
anticipate foreboding
screen screening
sail sailor
slacken slackening
glorify glory
reside resident
mediate mediation
interrogate interrogation
punt punting
slay slaying
approve approval
discriminate discrimination
segment segmentation
reflect reflector
finance financing
keep keeper
inflame inflammation
trim trimmer
remove remover
swim swimmer
bribe bribery
shop shopper
improvise improvisation
ventilate ventilation
profess professing
enhance enhancement
edit editor
dive diver
overestimate overestimation
sweat sweater
disclaim disclaimer
advocate advocacy
undertake undertaking
wine winery
push pushing
act action
conceal concealment
thump thumping
decontaminate decontamination
vaccinate vaccination
grill grilling
fossilize fossil
treat treatment
accomplish accomplishment
inaugurate inauguration
speak speaking
teach teaching
disobey disobedience
electrify electrification
hear hearing
associate association
personify personification
load loader
draft draftee
amortize amortization
blast blaster
putt putter
screw bed
confess confession
tell telling
molest molestation
endorse endorser
opine opinion
detract detraction
accelerate accelerator
reiterate reiteration
settle settlement
lobby lobbyist
profane profanation
sprint sprinter
intercept interceptor
intercede intercession
steer steering
detect detecting
escalate escalation
brief briefing
emasculate emasculation
celebrate celebration
estimate estimation
rearm rearmament
destroy destruction
ship shipment
dissuade dissuasion
visit visitor
exclude exclusion
recommence recommencement
love lover
sweeten sweetener
invade invader
subordinate subordination
pen penning
nationalize nationalization
detect detector
prescribe prescription
interfere interference
desolate desolation
catalyze catalyst
dedicate dedication
hop hopper
campaign campaigner
pick pickings
hawk hawker
flirt flirting
convalesce convalescent
sense sensation
preempt preemption
market marketing
unload unloading
oppress oppressor
observe observation
injure injury
strew strewing
conquer conqueror
brew brewer
golf golfer
map mapping
let letter
unify unification
sit sitter
image imaging
vault vaulting
consummate consummation
green greening
publicize publicizing
bat batting
extrapolate extrapolation
panel paneling
reform reformation
assail assailant
converge convergence
die death
receive reception
update updating
reinterpret reinterpretation
bless blessing
degrade degradation
shear shearing
hanker hankering
extend extent
reimburse reimbursement
portray portraying
conduct conductor
inform informing
focus focusing
rewrite rewriting
bake baker
appear apparition
shift shifting
predict predictor
thrill thriller
book booking
form formation
sever severance
joke joker
pay payment
divide division
intend intention
assure assurance
perfume perfumery
crush crusher
suck sucker
post postage
drink drinker
reimpose reimposition
dub dubbing
staple stapler
examine examinee
circulate circular
ramp rampage
gamble gambler
precede predecessor
matriculate matriculation
invest investment
qualify qualifying
curl curler
mumble mumbling
feed feeding
resettle resettlement
distinguish distinction
monopolize monopoly
misappropriate misappropriation
enjoy enjoyment
dredge dredger
anchor anchorage
erode erosion
speculate speculation
pant panting
overproduce overproduction
carpet carpeting
falsify falsity
stroke stroking
assassinate assassination
misread misreading
rush rusher
tint tinting
buzz buzzer
score scorer
equip equipping
tear tearing
ski skiing
shake shaking
captivate captive
sell selling
except exception
deviate deviation
try trial
document documentary
relax relaxant
tank tankage
atone atonement
marginalize marginalization
say saying
respect respecter
deprive deprivation
snoop snooper
jewel jewelry
progress progression
appoint appointee
codify codification
mount mounting
spar sparring
illuminate illumination
sting stinging
sprout sprouting
resonate resonance
snort drug
adjudicate adjudicator
assist assistance
dissent dissenter
taste taster
sweat sweating
cook cooking
sprawl sprawling
seal sealant
liquidate liquidation
bomb bombing
review reviewer
heat heating
mourn mourner
discover discoverer
wake waking
cease cessation
precede precedence
heave heaving
land landing
debrief debriefing
savor relish
stagnate stagnancy
present presenter
go goer
concoct concoction
clear clearance
pretend pretending
mill milling
rearrange rearrangement
export exporting
deepen deepening
