TRAINING
disinvest undress
perform performer
sled sledding
sweeten sweetening
dine dining
distill distillery
seek seeking
camp camper
deter deterrence
crack cracking
participate participant
duplicate duplication
shop shopping
slug slugger
represent representation
embezzle embezzlement
reprint reprinting
ship shipper
obey obedience
prolong prolongation
shrink shrinkage
couple coupling
weave weaving
starve starvation
scatter scattering
immobilize immobilization
roast roaster
box boxing
warm warmer
support supporter
suppose supposition
concede conceding
hiss hissing
excise excision
vary variation
distill distillate
steer steerage
register registrant
thrash thrashing
exempt exemption
cushion cushioning
stalk stalking
implicate implication
hinder hindrance
win winning
explore exploration
deactivate deactivation
produce product
adjust adjustment
electrocute electrocution
prospect prospector
free freeing
throttle throttling
diffuse diffusion
compound compounding
combine combining
smock smocking
stroll stroller
deduct deduction
smell smelling
pay payer
intoxicate intoxication
envision envisioning
etch etching
instal installing
till tillage
continue continuation
pound pounding
adjudicate judge
interview interviewer
relegate relegation
compile compilation
punch puncher
heal healer
restrain restraint
predispose predisposition
struggle struggler
fill filler
pose posing
schedule scheduler
desalinate desalination
ally alliance
facilitate facilitator
mellow mellowing
overreact overreaction
anoint anointment
animate animator
inflame inflaming
persevere perseverance
negotiate negotiator
darken darkening
disavow disavowal
hammer hammering
thicken thickener
accentuate accent
root rooting
master mastering
charm charmer
occupy occupant
position positioning
transform transformer
grasp grasping
economize economy
dine dinner
score scorer
keep keeping
sign signer
syndicate syndicator
commentate commentator
annihilate annihilation
maximize maximization
demonstrate demonstration
plunder plundering
tease teasing
corrupt corruption
called calling
induce inducing
adhere adhesion
moderate curb
warm warming
pipe piping
purchase purchaser
quicken quickening
evade evasion
cede cession
navigate navigation
agitate agitator
revise revising
criminalize criminal
collect collecting
incarnate incarnation
transgress transgression
idle idling
intensify intensity
argue argument
crackle crackling
accredit accreditation
damn damnation
feed feeder
steal stealing
harmonize harmonization
quench quenching
clinch clincher
stretch stretcher
punt punting
compress compressor
broadcast broadcaster
recede receding
reside residence
contract contracting
dethrone dethronement
expend expending
protect protection
shade shading
strip stripper
dive diving
terminate termination
advise advisory
sail sailor
slacken slackening
glorify glory
reside resident
mediate mediation
interrogate interrogation
mortgage mortgagee
slay slaying
approve approval
slack slacker
line lining
reflect reflector
conciliate conciliation
keep keeper
inflame inflammation
evaluate evaluator
remove remover
swim swimmer
document documentary
shop shopper
improvise improvisation
ventilate ventilation
flow flowing
enhance enhancement
wreck wreckage
dive diver
overestimate overestimation
sweat sweater
disclaim disclaimer
diet dieting
undertake undertaking
program programing
refuse refusal
act action
conceal concealment
thump thumping
decontaminate decontamination
vaccinate vaccination
contend contender
fossilize fossil
treat treatment
accomplish accomplishment
inaugurate inauguration
speak speaking
teach teaching
disobey disobedience
electrify electrification
hear hearing
associate association
personify personification
forecast forecasting
draft draftee
irritate irritation
blast blaster
putt putter
denominate denomination
confess confession
tell telling
molest molestation
hesitate hesitancy
opine opinion
detract detraction
accelerate accelerator
narrow narrowing
impersonate impersonation
lobby lobbyist
dock docking
sprint sprinter
ostracize ostracism
poke poker
coax coaxing
detect detecting
escalate escalation
brief briefing
emasculate emasculation
celebrate celebration
signify significance
rearm rearmament
destroy destruction
ship shipment
smack smacking
present presentment
exclude exclusion
switch switching
comply compliance
sweeten sweetener
invade invader
subordinate subordination
pen penning
nationalize nationalization
admit admission
prescribe prescription
diversify diversification
desolate desolation
equalize equalizer
rig rigging
eat eater
campaign campaigner
defer deferral
hawk hawker
flirt flirting
convalesce convalescent
sense sensation
preempt preemption
market marketing
unload unloading
oppress oppressor
observe observation
begin beginning
strew strewing
conquer conqueror
brew brewer
ferment fermentation
map mapping
let letter
plead pleading
sit sitter
image imaging
vault vaulting
choke choking
freeze freezing
publicize publicizing
bat batting
extrapolate extrapolation
panel paneling
reform reformation
file filing
converge convergence
die death
receive reception
blackmail blackmailer
word wording
bless blessing
degrade degradation
shear shearing
hanker hankering
extend extent
reimburse reimbursement
fold folder
merge merger
drug drugging
qualify qualifier
deliver delivery
kidnap kidnapper
appear apparition
shift shifting
predict predictor
thrill thriller
book booking
form formation
sever severance
joke joker
pay payment
type typing
intend intention
wreck wrecker
perfume perfumery
intensify intensification
meddle meddling
coordinate coordination
flatter flattery
direct directive
dub dubbing
anchor anchorage
examine examinee
circulate circular
ramp rampage
gamble gambler
precede predecessor
matriculate matriculation
emit emission
qualify qualifying
curl curler
mumble mumbling
feed feeding
resettle resettlement
distinguish distinction
monopolize monopoly
misappropriate misappropriation
unify unification
dredge dredger
instigate instigator
erode erosion
dilute dilution
avoid avoidance
revel revelry
carpet carpeting
falsify falsity
bust buster
assassinate assassination
misread misreading
rush rusher
enlighten enlightenment
buzz buzzer
blend blender
equip equipping
tear tearing
ski skiing
shake shaking
captivate captive
mail mailer
except exception
deviate deviation
box boxer
wire wiring
relax relaxant
activate activator
rob robber
admire admiration
join juncture
respect respecter
deprive deprivation
snoop snooper
jewel jewelry
progress progression
mobilize mobilization
codify codification
mount mounting
assume assumption
illuminate illumination
sting stinging
sprout sprouting
resonate resonance
cover report
insist insisting
assist assistance
dissent dissenter
ride rider
sweat sweating
cook cooking
sprawl sprawling
seal sealant
liquidate liquidation
bomb bombing
review reviewer
heat heating
purify purifier
discover discoverer
wake waking
ordain ordinance
precede precedence
heave heaving
land landing
debrief debriefing
scout scouting
collude collusion
present presenter
go goer
concoct concoction
clear clearance
consummate consummation
mill milling
emulate emulation
export exporting
deepen deepening
breathe breather
