TRAINING
idiot stupidity
prisoner punishment
invalid illness
millionaire riches
child innocence
pacifist peace
psychotic insanity
administrator power
expert knowledge
ice cold
child youth
nun chastity
entrepreneur wealth
forgetful aloof
soldier war
scholar intelligence
star brightness
saint holiness
ascetic austerity
millionaire wealth
armistice peace
fire warmth
winner victory
athlete skinny
baby helpless
virgin purity
TUNING
coward fear
society citizen
development draft
TEST
corpse death
menopause emotional
ballerina grace
