TRAINING
traveler destination
painter portrait
workers salary
doctor wellness
hunter prey
farmer food
farmer harvest
athlete record
mediator reconciliation
dancer applause
politician office
addict fix
student graduation
lawyer justice
students graduation
runner finish
athlete medal
singer contract
chef meal
christian heaven
midwife babies
gambler millionaire
athlete championship
man sex
team trophy
TUNING
astronaut space
arsonist fire
musician applause
TEST
seamstress dress
patient health
student degree
