TRAINING
diploma education
compass direction
smile happiness
rain storm
sign direction
citation violation
pregnancy baby
smoke fire
camera distrust
flag nation
flashing caution
badge authority
warning trouble
crown royalty
wrinkle age
thunder storm
crown sovereignty
alarm action
yellow caution
cross faith
buzzer end
cry help
green go
bell dinner
TUNING
cloud moisture
surgery hospital
license permission
TEST
lightning thunder
handshake agreement
doctor diagnosis
crossbones poison
engagement wedding
red stop
