TRAINING
reach touch
wheel car
title story
introduction conclusion
windup pitch
lay sleep
letter postscript
text index
conception birth
start finish
ingestion digestion
thread shirt
foreword novel
introduction speech
step journey
preview movie
sugar cookies
pregnancy birth
word sentence
letter word
previews movie
kiss intercourse
trial arrest
inhale smell
flirtation tryst
letters word
searing roasting
shoot recoil
TUNING
paperwork appointment
meal dessert
kindergarten preschool
TEST
beginning middle
hydrogen water
performance applause
