TRAINING
inhale smell
sugar cookies
letter postscript
introduction conclusion
beginning middle
thread shirt
letter word
text index
conception birth
hydrogen water
preview movie
performance applause
foreword novel
introduction speech
paperwork appointment
shoot recoil
trial arrest
pregnancy birth
word sentence
kindergarten preschool
ingestion digestion
kiss intercourse
windup pitch
title story
flirtation tryst
letters word
previews movie
lay sleep
TUNING
wheel car
step journey
start finish
TEST
meal dessert
reach touch
searing roasting
