TRAINING
start starts
use uses
prevent prevents
continue continues
know knows
help helps
provide provides
reduce reduces
believe believes
turn turns
win wins
extend extends
determine determines
preserve preserves
stay stays
do does
seem seems
avoid avoids
play plays
call calls
tell tells
require requires
support supports
want wants
pay pays
like likes
happen happens
run runs
follow follows
come comes
show shows
need needs
hold holds
feel feels
go goes
discuss discusses
learn learns
move moves
have has
prove proves
resolve resolves
ask asks
consider considers
make makes
get gets
reach reaches
leave leaves
think thinks
offer offers
receive receives
stop stops
work works
develop develops
remain remains
find finds
take takes
look looks
meet meets
become becomes
end ends
try tries
accept accepts
give gives
decide decides
say says
raise raises
ensure ensures
allow allows
join joins
earn earns
eliminate eliminates
protect protects
bring brings
increase increases
live lives
build builds
improve improves
serve serves
study studies
be is
see sees
TUNING
celebrate celebrates
sell sells
promote promotes
understand understands
return returns
seek seeks
include includes
save saves
open opens
TEST
lead leads
produce produces
create creates
send sends
keep keeps
accommodate accommodates
buy buys
begin begins
recognize recognizes
