TRAINING
decides decided
builds built
moves moved
wins won
makes made
opens opened
has had
takes took
tells told
does did
seems seemed
provides provided
thinks thought
stops stopped
becomes became
remains remained
feels felt
calls called
keeps kept
reaches reached
sells sold
proves proved
knows knew
gives gave
says said
looks looked
understands understood
leaves left
changes changed
protects protected
increases increased
resolves resolved
learns learned
discusses discussed
develops developed
lives lived
requires required
raises raised
begins began
pays paid
brings brought
tries tried
includes included
joins joined
produces produced
shows showed
seeks sought
finds found
supports supported
gets got
offers offered
starts started
preserves preserved
eliminates eliminated
follows followed
serves served
leads led
ensures ensured
happens happened
receives received
ends ended
wants wanted
prevents prevented
accepts accepted
asks asked
improves improved
considers considered
plays played
uses used
is was
saves saved
continues continued
works worked
creates created
avoids avoided
needs needed
determines determined
extends extended
meets met
believes believed
celebrates celebrated
TUNING
buys bought
studies studied
goes went
turns turned
earns earned
accommodates accommodated
allows allowed
runs ran
returns returned
TEST
stays stayed
promotes promoted
recognizes recognized
reduces reduced
holds held
sees saw
helps helped
comes came
likes liked
sends sent
