TRAINING
go went
ask asked
be was
prove proved
improve improved
pay paid
promote promoted
celebrate celebrated
join joined
avoid avoided
tell told
allow allowed
become became
require required
return returned
move moved
increase increased
see saw
find found
come came
seek sought
do did
earn earned
use used
end ended
create created
reduce reduced
serve served
hold held
help helped
recognize recognized
stay stayed
raise raised
buy bought
want wanted
play played
make made
keep kept
understand understood
reach reached
resolve resolved
start started
follow followed
give gave
support supported
stop stopped
discuss discussed
bring brought
take took
extend extended
accept accepted
show showed
eliminate eliminated
have had
remain remained
try tried
meet met
offer offered
produce produced
get got
accommodate accommodated
know knew
open opened
live lived
feel felt
save saved
think thought
sell sold
believe believed
determine determined
study studied
look looked
ensure ensured
need needed
decide decided
happen happened
win won
prevent prevented
learn learned
consider considered
change changed
TUNING
work worked
provide provided
turn turned
seem seemed
develop developed
receive received
say said
run ran
call called
TEST
leave left
like liked
send sent
lead led
build built
include included
continue continued
begin began
preserve preserved
protect protected
