TRAINING
include included
ask asked
be was
prove proved
earn earned
pay paid
promote promoted
celebrate celebrated
build built
provide provided
want wanted
understand understood
become became
start started
return returned
move moved
change changed
see saw
find found
offer offered
seek sought
do did
discuss discussed
buy bought
end ended
lead led
allow allowed
have had
go went
call called
begin began
create created
improve improved
save saved
develop developed
play played
stay stayed
run ran
leave left
look looked
resolve resolved
come came
follow followed
give gave
support supported
stop stopped
decide decided
live lived
take took
extend extended
accept accepted
like liked
eliminate eliminated
reduce reduced
remain remained
try tried
meet met
send sent
produce produced
ensure ensured
show showed
know knew
open opened
accommodate accommodated
bring brought
join joined
use used
sell sold
hold held
determine determined
study studied
recognize recognized
preserve preserved
increase increased
protect protected
win won
tell told
prevent prevented
require required
consider considered
get got
TUNING
work worked
make made
turn turned
seem seemed
continue continued
receive received
say said
believe believed
reach reached
TEST
serve served
feel felt
learn learned
avoid avoided
think thought
keep kept
happen happened
help helped
need needed
raise raised
