TRAINING
weld welding
advise advisory
sled sledding
sweeten sweetening
expel expulsion
coexist coexistence
invest investing
camp camper
repulse repulsion
crack cracking
participate participant
duplicate duplication
shop shopping
perspire perspiration
represent representation
embezzle embezzlement
adapt adaptation
ship shipper
obey obedience
prolong prolongation
register registry
couple coupling
weave weaving
starve starvation
theorize theory
defile defilement
direct directive
knit knitting
enroll enrollment
observe observance
quote quotation
temper tempering
hiss hissing
excise excision
vary variation
distill distillate
solve solving
register registrant
thrash thrashing
exempt exemption
cushion cushioning
web webbing
implicate implication
hinder hindrance
win winning
explore exploration
rouse rousing
produce product
drift drifting
electrocute electrocution
pollute pollution
free freeing
throttle throttling
contract contraction
compound compounding
slave slavery
grumble grumbling
account accountant
deduct deduction
smell smelling
fulfill fulfillment
intoxicate intoxication
envision envisioning
flow flowing
instal installing
till tillage
pull pulling
pound pounding
handle handler
interview interviewer
relegate relegation
compile compilation
invalidate invalidation
heal healer
ransack ransacking
predispose predisposition
struggle struggler
fill filler
pose posing
schedule scheduler
desalinate desalination
crave craving
facilitate facilitator
mellow mellowing
overreact overreaction
soar soaring
shape shaping
inflame inflaming
terminate terminus
respond respondent
darken darkening
disavow disavowal
polish polisher
thicken thickener
accentuate accent
root rooting
satisfy satisfaction
charm charmer
interconnect interconnection
investigate investigator
regulate regulation
regenerate regeneration
oxidise oxide
dine dinner
recruit recruiter
keep keeping
adjust adjustment
syndicate syndicator
initiate initiator
annihilate annihilation
maximize maximization
demonstrate demonstration
plunder plundering
tease teasing
corrupt corruption
called calling
whirl whirling
guide guidance
moderate curb
recommend recommendation
pipe piping
learn learner
quicken quickening
evade evasion
hurry hurrying
unionize union
agitate agitator
exhume exhumation
join juncture
alter alteration
incarnate incarnation
anoint anointment
idle idling
pace pacer
argue argument
disappear disappearance
accredit accreditation
bounce bouncer
feed feeder
lubricate lubricant
harmonize harmonization
undress strip
clinch clincher
stretch stretcher
replace replacement
compress compressor
broadcast broadcaster
propel propeller
reside residence
contract contracting
dethrone dethronement
depose deposition
protect protection
shade shading
strip stripper
dive diving
anticipate foreboding
screen screening
sail sailor
slacken slackening
glorify glory
reside resident
mediate mediation
interrogate interrogation
punt punting
slay slaying
approve approval
discriminate discrimination
segment segmentation
reflect reflector
finance financing
keep keeper
inflame inflammation
trim trimmer
remove remover
swim swimmer
bribe bribery
shop shopper
improvise improvisation
ventilate ventilation
profess professing
enhance enhancement
edit editor
dive diver
overestimate overestimation
sweat sweater
disclaim disclaimer
advocate advocacy
undertake undertaking
wine winery
push pushing
splinter splintering
conceal concealment
thump thumping
decontaminate decontamination
vaccinate vaccination
grill grilling
fossilize fossil
condemn condemnation
accomplish accomplishment
inaugurate inauguration
speak speaking
teach teaching
disobey disobedience
defame defamation
hear hearing
associate association
personify personification
load loader
draft draftee
amortize amortization
blast blaster
putt putter
screw bed
confess confession
tell telling
molest molestation
endorse endorser
opine opinion
detract detraction
accelerate accelerator
reiterate reiteration
settle settlement
lobby lobbyist
profane profanation
sprint sprinter
intercept interceptor
intercede intercession
steer steering
detect detecting
escalate escalation
brief briefing
emasculate emasculation
celebrate celebration
estimate estimation
rearm rearmament
headline headliner
ship shipment
dissuade dissuasion
visit visitor
exclude exclusion
recommence recommencement
love lover
sweeten sweetener
invade invader
subordinate subordination
starve starving
nationalize nationalization
detect detector
prescribe prescription
interfere interference
desolate desolation
catalyze catalyst
dedicate dedication
hop hopper
campaign campaigner
pick pickings
hawk hawker
flirt flirting
convalesce convalescent
sense sensation
preempt preemption
market marketing
unload unloading
salt salting
observe observation
injure injury
strew strewing
vindicate vindication
brew brewer
golf golfer
map mapping
heal healing
unify unification
sit sitter
image imaging
vault vaulting
consummate consummation
green greening
publicize publicizing
bat batting
extrapolate extrapolation
panel paneling
reform reformation
assail assailant
converge convergence
espouse espousal
receive reception
update updating
reinterpret reinterpretation
bless blessing
degrade degradation
interrupt interruption
hanker hankering
extend extent
reimburse reimbursement
portray portraying
conduct conductor
inform informing
focus focusing
rewrite rewriting
bake baker
appear apparition
shift shifting
predict predictor
thrill thriller
book booking
form formation
sever severance
joke joker
pay payment
divide division
intend intention
assure assurance
perfume perfumery
crush crusher
suck sucker
post postage
drink drinker
reimpose reimposition
dub dubbing
staple stapler
examine examinee
circulate circular
reshuffle reshuffling
gamble gambler
precede predecessor
matriculate matriculation
invest investment
disclose disclosure
germinate germ
question questioner
feed feeding
resettle resettlement
distinguish distinction
monopolize monopoly
misappropriate misappropriation
enjoy enjoyment
dredge dredger
anchor anchorage
submit submission
speculate speculation
pant panting
overproduce overproduction
carpet carpeting
falsify falsity
stroke stroking
reelect reelection
misread misreading
avoid avoidance
tint tinting
