TRAINING
disinvest undress
perform performer
sled sledding
sweeten sweetening
dine dining
distill distillery
invest investing
camp camper
deter deterrence
crack cracking
participate participant
duplicate duplication
shop shopping
slug slugger
represent representation
embezzle embezzlement
reprint reprinting
ship shipper
obey obedience
prolong prolongation
shrink shrinkage
couple coupling
weave weaving
starve starvation
scatter scattering
immobilize immobilization
roast roaster
box boxing
warm warmer
observe observance
suppose supposition
concede conceding
hiss hissing
excise excision
vary variation
distill distillate
steer steerage
register registrant
thrash thrashing
exempt exemption
cushion cushioning
web webbing
implicate implication
hinder hindrance
win winning
explore exploration
deactivate deactivation
produce product
adjust adjustment
electrocute electrocution
prospect prospector
free freeing
throttle throttling
diffuse diffusion
compound compounding
combine combining
smock smocking
stroll stroller
deduct deduction
smell smelling
pay payer
intoxicate intoxication
envision envisioning
etch etching
instal installing
till tillage
continue continuation
pound pounding
adjudicate judge
interview interviewer
relegate relegation
compile compilation
punch puncher
heal healer
restrain restraint
predispose predisposition
struggle struggler
fill filler
pose posing
schedule scheduler
desalinate desalination
ally alliance
facilitate facilitator
mellow mellowing
overreact overreaction
anoint anointment
animate animator
inflame inflaming
terminate terminus
negotiate negotiator
darken darkening
disavow disavowal
hammer hammering
thicken thickener
accentuate accent
root rooting
master mastering
charm charmer
interconnect interconnection
position positioning
regulate regulation
grasp grasping
economize economy
dine dinner
recruit recruiter
keep keeping
sign signer
syndicate syndicator
commentate commentator
annihilate annihilation
maximize maximization
demonstrate demonstration
plunder plundering
tease teasing
corrupt corruption
called calling
induce inducing
adhere adhesion
moderate curb
warm warming
pipe piping
purchase purchaser
quicken quickening
evade evasion
cede cession
unionize union
agitate agitator
revise revising
criminalize criminal
collect collecting
incarnate incarnation
transgress transgression
idle idling
intensify intensity
argue argument
crackle crackling
accredit accreditation
damn damnation
feed feeder
steal stealing
harmonize harmonization
quench quenching
clinch clincher
stretch stretcher
replace replacement
compress compressor
broadcast broadcaster
recede receding
reside residence
contract contracting
dethrone dethronement
expend expending
protect protection
shade shading
strip stripper
dive diving
terminate termination
advise advisory
sail sailor
slacken slackening
glorify glory
reside resident
mediate mediation
interrogate interrogation
mortgage mortgagee
slay slaying
approve approval
slack slacker
segment segmentation
reflect reflector
conciliate conciliation
keep keeper
inflame inflammation
trim trimmer
remove remover
swim swimmer
document documentary
shop shopper
improvise improvisation
ventilate ventilation
flow flowing
enhance enhancement
edit editor
dive diver
overestimate overestimation
sweat sweater
disclaim disclaimer
diet dieting
undertake undertaking
program programing
push pushing
act action
conceal concealment
thump thumping
decontaminate decontamination
vaccinate vaccination
contend contender
fossilize fossil
treat treatment
accomplish accomplishment
inaugurate inauguration
speak speaking
teach teaching
disobey disobedience
electrify electrification
hear hearing
associate association
personify personification
load loader
draft draftee
irritate irritation
blast blaster
putt putter
denominate denomination
confess confession
tell telling
molest molestation
hesitate hesitancy
opine opinion
detract detraction
accelerate accelerator
reiterate reiteration
settle settlement
lobby lobbyist
dock docking
sprint sprinter
ostracize ostracism
poke poker
steer steering
detect detecting
escalate escalation
brief briefing
emasculate emasculation
celebrate celebration
signify significance
rearm rearmament
destroy destruction
ship shipment
dissuade dissuasion
visit visitor
exclude exclusion
switch switching
love lover
sweeten sweetener
invade invader
subordinate subordination
pen penning
nationalize nationalization
admit admission
prescribe prescription
diversify diversification
desolate desolation
catalyze catalyst
rig rigging
eat eater
campaign campaigner
defer deferral
hawk hawker
flirt flirting
convalesce convalescent
sense sensation
preempt preemption
market marketing
unload unloading
oppress oppressor
observe observation
injure injury
strew strewing
conquer conqueror
brew brewer
ferment fermentation
map mapping
let letter
plead pleading
sit sitter
image imaging
vault vaulting
choke choking
freeze freezing
publicize publicizing
bat batting
extrapolate extrapolation
panel paneling
reform reformation
assail assailant
converge convergence
die death
receive reception
blackmail blackmailer
reinterpret reinterpretation
bless blessing
degrade degradation
shear shearing
hanker hankering
extend extent
reimburse reimbursement
fold folder
merge merger
drug drugging
focus focusing
deliver delivery
kidnap kidnapper
appear apparition
shift shifting
predict predictor
thrill thriller
book booking
form formation
sever severance
joke joker
pay payment
divide division
intend intention
assure assurance
perfume perfumery
intensify intensification
suck sucker
coordinate coordination
drink drinker
direct directive
dub dubbing
staple stapler
examine examinee
circulate circular
ramp rampage
gamble gambler
precede predecessor
matriculate matriculation
emit emission
qualify qualifying
curl curler
mumble mumbling
feed feeding
resettle resettlement
distinguish distinction
monopolize monopoly
misappropriate misappropriation
enjoy enjoyment
dredge dredger
instigate instigator
erode erosion
speculate speculation
avoid avoidance
overproduce overproduction
carpet carpeting
falsify falsity
bust buster
assassinate assassination
misread misreading
rush rusher
tint tinting
buzz buzzer
blend blender
equip equipping
tear tearing
ski skiing
shake shaking
captivate captive
sell selling
except exception
deviate deviation
box boxer
wire wiring
relax relaxant
activate activator
atone atonement
marginalize marginalization
say saying
respect respecter
deprive deprivation
snoop snooper
jewel jewelry
progress progression
mobilize mobilization
codify codification
mount mounting
assume assumption
illuminate illumination
sting stinging
sprout sprouting
resonate resonance
snort drug
insist insisting
assist assistance
dissent dissenter
taste taster
sweat sweating
cook cooking
sprawl sprawling
seal sealant
liquidate liquidation
bomb bombing
review reviewer
heat heating
purify purifier
discover discoverer
wake waking
ordain ordinance
precede precedence
heave heaving
land landing
debrief debriefing
scout scouting
collude collusion
present presenter
go goer
concoct concoction
clear clearance
pretend pretending
mill milling
rearrange rearrangement
export exporting
deepen deepening
breathe breather
