TRAINING
idiot stupidity
ballerina grace
invalid illness
millionaire riches
child innocence
nun chastity
psychotic insanity
administrator power
expert knowledge
ice cold
child youth
corpse death
menopause emotional
forgetful aloof
soldier war
scholar intelligence
star brightness
saint holiness
ascetic austerity
millionaire wealth
armistice peace
fire warmth
winner victory
entrepreneur wealth
baby helpless
virgin purity
TUNING
coward fear
prisoner punishment
development draft
TEST
pacifist peace
athlete skinny
society citizen
