TRAINING
traveler destination
students graduation
addict fix
hunter prey
arsonist fire
doctor wellness
workers salary
astronaut space
chef meal
singer contract
midwife babies
farmer food
seamstress dress
lawyer justice
musician applause
mediator reconciliation
christian heaven
dancer applause
team trophy
painter portrait
man sex
patient health
student degree
athlete record
TUNING
athlete medal
gambler millionaire
athlete championship
TEST
farmer harvest
politician office
runner finish
student graduation
