TRAINING
citation violation
diploma education
badge authority
lightning thunder
pregnancy baby
sign direction
flag nation
buzzer end
wrinkle age
compass direction
green go
engagement wedding
bell dinner
crossbones poison
handshake agreement
cross faith
cry help
crown royalty
license permission
crown sovereignty
thunder storm
warning trouble
red stop
surgery hospital
yellow caution
flashing caution
smile happiness
TUNING
doctor diagnosis
alarm action
camera distrust
TEST
smoke fire
cloud moisture
rain storm
