TRAINING
reach touch
sugar cookies
letter postscript
introduction conclusion
beginning middle
thread shirt
letter word
text index
conception birth
hydrogen water
preview movie
performance applause
foreword novel
introduction speech
step journey
shoot recoil
trial arrest
pregnancy birth
word sentence
kindergarten preschool
previews movie
kiss intercourse
windup pitch
inhale smell
flirtation tryst
letters word
searing roasting
lay sleep
TUNING
wheel car
meal dessert
start finish
TEST
paperwork appointment
title story
ingestion digestion
