TRAINING
law laws
decision decisions
case cases
child children
game games
car cars
talk talks
patient patients
friend friends
death deaths
mile miles
thing things
business businesses
effort efforts
point points
person people
foot feet
way ways
system systems
street streets
state states
product products
school schools
artist artists
drug drugs
source sources
player players
candidate candidates
month months
service services
relation relations
agency agencies
operation operations
party parties
line lines
man men
report reports
teacher teachers
family families
plan plans
company companies
student students
parent parents
right rights
job jobs
sport sports
voter voters
issue issues
building buildings
allegation allegations
member members
city cities
condition conditions
day days
group groups
charge charges
event events
program programs
kid kids
price prices
benefit benefits
time times
worker workers
year years
reason reasons
expert experts
week weeks
result results
rule rules
citizen citizens
resident residents
analyst analysts
area areas
country countries
leader leaders
loss losses
weapon weapons
employee employees
question questions
home homes
rate rates
TUNING
authority authorities
problem problems
term terms
number numbers
owner owners
investor investors
life lives
minute minutes
sale sales
TEST
official officials
change changes
project projects
woman women
standard standards
concern concerns
team teams
officer officers
dollar dollars
hour hours
