TRAINING
think thinks
resolve resolves
sell sells
accommodate accommodates
become becomes
show shows
feel feels
turn turns
have has
call calls
seem seems
receive receives
offer offers
ask asks
be is
learn learns
keep keeps
study studies
celebrate celebrates
provide provides
believe believes
pay pays
try tries
come comes
meet meets
reach reaches
extend extends
protect protects
know knows
determine determines
stay stays
like likes
happen happens
say says
allow allows
create creates
make makes
play plays
run runs
go goes
move moves
buy buys
build builds
end ends
return returns
produce produces
hold holds
decide decides
want wants
win wins
ensure ensures
follow follows
send sends
begin begins
help helps
stop stops
save saves
avoid avoids
lead leads
continue continues
develop develops
live lives
prove proves
bring brings
reduce reduces
preserve preserves
increase increases
see sees
join joins
improve improves
leave leaves
need needs
open opens
TUNING
find finds
support supports
recognize recognizes
start starts
remain remains
raise raises
prevent prevents
work works
TEST
require requires
do does
accept accepts
get gets
eliminate eliminates
serve serves
give gives
tell tells
seek seeks
consider considers
include includes
promote promotes
understand understands
discuss discusses
use uses
take takes
earn earns
look looks
