TRAINING
raise raises
use uses
prevent prevents
continue continues
accommodate accommodates
help helps
provide provides
reduce reduces
need needs
turn turns
save saves
leave leaves
determine determines
say says
stay stays
do does
keep keeps
bring brings
play plays
decide decides
tell tells
require requires
seem seems
lead leads
pay pays
call calls
support supports
buy buys
feel feels
come comes
go goes
ask asks
hold holds
sell sells
join joins
discuss discusses
preserve preserves
move moves
live lives
improve improves
resolve resolves
think thinks
consider considers
make makes
get gets
reach reaches
see sees
run runs
offer offers
receive receives
stop stops
extend extends
develop develops
know knows
show shows
take takes
look looks
try tries
become becomes
prove proves
happen happens
accept accepts
give gives
remain remains
begin begins
learn learns
ensure ensures
allow allows
want wants
earn earns
eliminate eliminates
win wins
protect protects
increase increases
end ends
build builds
create creates
serve serves
recognize recognizes
be is
open opens
TUNING
celebrate celebrates
study studies
promote promotes
understand understands
follow follows
seek seeks
include includes
produce produces
send sends
TEST
find finds
avoid avoids
have has
work works
meet meets
like likes
believe believes
start starts
return returns
