TRAINING
offers offered
saves saved
moves moved
wins won
knows knew
helps helped
has had
takes took
joins joined
studies studied
develops developed
begins began
thinks thought
tries tried
becomes became
does did
celebrates celebrated
sends sent
reduces reduced
ensures ensured
learns learned
meets met
seeks sought
discusses discussed
says said
keeps kept
provides provided
eliminates eliminated
decides decided
returns returned
supports supported
looks looked
makes made
improves improved
earns earned
produces produced
resolves resolved
runs ran
shows showed
continues continued
brings brought
reaches reached
preserves preserved
holds held
raises raised
stays stayed
avoids avoided
accepts accepted
comes came
recognizes recognized
sees saw
plays played
asks asked
understands understood
likes liked
extends extended
sells sold
gets got
happens happened
works worked
starts started
considers considered
creates created
ends ended
finds found
tells told
gives gave
promotes promoted
changes changed
prevents prevented
needs needed
increases increased
follows followed
feels felt
calls called
determines determined
seems seemed
protects protected
stops stopped
leaves left
receives received
TUNING
buys bought
requires required
remains remained
wants wanted
opens opened
believes believed
proves proved
uses used
pays paid
TEST
accommodates accommodated
includes included
allows allowed
goes went
turns turned
lives lived
builds built
serves served
is was
leads led
