TRAINING
go went
ask asked
remain remained
extend extended
improve improved
continue continued
see saw
give gave
join joined
avoid avoided
tell told
allow allowed
sell sold
require required
accept accepted
move moved
increase increased
protect protected
lead led
come came
seek sought
do did
earn earned
use used
stop stopped
create created
reduce reduced
serve served
hold held
help helped
recognize recognized
stay stayed
raise raised
buy bought
want wanted
play played
make made
keep kept
understand understood
reach reached
take took
start started
follow followed
build built
support supported
leave left
discuss discussed
bring brought
begin began
send sent
include included
show showed
eliminate eliminated
have had
preserve preserved
try tried
meet met
offer offered
find found
get got
accommodate accommodated
know knew
open opened
live lived
feel felt
save saved
think thought
like liked
believe believed
determine determined
study studied
look looked
ensure ensured
need needed
decide decided
happen happened
win won
prevent prevented
learn learned
consider considered
change changed
TUNING
pay paid
provide provided
turn turned
seem seemed
develop developed
receive received
say said
run ran
call called
TEST
end ended
become became
prove proved
produce produced
celebrate celebrated
return returned
work worked
resolve resolved
be was
promote promoted
