TRAINING
include included
ask asked
be was
prove proved
improve improved
pay paid
promote promoted
celebrate celebrated
build built
avoid avoided
tell told
understand understood
become became
require required
return returned
move moved
increase increased
see saw
find found
offer offered
seek sought
do did
earn earned
use used
end ended
lead led
reduce reduced
serve served
go went
help helped
begin began
create created
raise raised
buy bought
develop developed
play played
make made
keep kept
leave left
reach reached
resolve resolved
start started
follow followed
give gave
support supported
stop stopped
decide decided
bring brought
take took
extend extended
accept accepted
like liked
eliminate eliminated
have had
remain remained
try tried
meet met
send sent
produce produced
ensure ensured
show showed
know knew
open opened
live lived
feel felt
join joined
think thought
sell sold
believe believed
determine determined
study studied
recognize recognized
preserve preserved
need needed
protect protected
happen happened
win won
prevent prevented
learn learned
consider considered
change changed
TUNING
work worked
provide provided
turn turned
seem seemed
continue continued
receive received
say said
run ran
call called
TEST
allow allowed
accommodate accommodated
come came
stay stayed
save saved
hold held
want wanted
look looked
get got
discuss discussed
