TRAINING
brawl brawler
reciprocate reciprocation
bankrupt bankruptcy
arrive arrival
unite uniting
color coloring
pay payer
dub dubbing
excel excellence
dock docking
show showing
jog jogging
tie tying
charge charger
lower lowering
enhance enhancement
serve server
stabilize stabilizer
anticipate foreboding
exacerbate exacerbation
contract contractor
retail retailer
compose component
ooze oozing
calibrate caliber
call caller
exclaim exclaiming
state statement
drink drinker
float flotation
inhibit inhibition
pace pacing
refine refinery
split splitter
mug mugging
pacify pacification
bless blessing
perceive perception
live living
vomit vomiting
orchestrate orchestra
dirty dirtying
savage savagery
measure measuring
position positioning
save savings
formulate formula
audit auditor
guess guessing
compose composing
stock stocking
cushion cushioning
educate educator
theorise theory
melt melting
presume presumption
infect infection
disparage disparagement
purchase purchaser
revert reverting
ostracise ostracism
desert desertion
refuel refueling
oust ousting
quadruple quadrupling
validate validation
impeach impeachment
mask masking
reconstruct reconstruction
collaborate collaborator
atone atonement
decompose decomposition
contribute contribution
butcher butchery
box boxer
pollute polluter
ascend ascension
course coursing
radiate radiance
propose proposition
inter interment
putt putter
wheel wheeling
scoot scooter
crawl crawler
subcontract subcontractor
invalidate invalidation
occupy occupant
talk talker
attract attraction
stimulate stimulus
assist assistant
condescend condescension
flatter flattery
intimidate intimidation
test tester
animate animator
sculpt sculpture
mill milling
disembark disembarkation
rub rubbing
center centering
assist assistance
write writer
patent patentee
repulse repulsion
dictate dictation
wring wringer
interpret interpreter
rescind rescission
ravage ravaging
inject injection
polish polishing
identify identification
participate participation
drill drilling
name naming
underwrite underwriter
process processing
retire retiree
invent inventor
heckle heckling
offer offering
value valuer
absent absence
reorient reorientation
go goer
watch watcher
invest investing
persecute persecution
reveal revealing
patch patching
conduct conductor
seize seizure
repay repayment
disappear disappearance
resettle resettlement
retain retention
float floatation
avert aversion
expire expiration
divide divider
optimize optimum
amputate amputation
stir stirring
flash flashing
pretend pretense
comfort comforter
embody embodiment
tend tender
export exportation
group grouping
coagulate coagulation
kick kicker
summon summoning
equate equating
condemn condemnation
impress impression
typify type
toast toasting
intensify intensification
number numbering
signify significance
poison poisoning
globalize globalization
prune pruning
normalize normalization
debrief debriefing
drink drunkard
tense tension
overproduce overproduction
consume consumption
export exporter
confine confinement
sleep sleeping
rope roping
concede concession
connect connector
raft rafter
harmonize harmonization
back backing
garden gardener
list listing
clear clearing
appeal appellant
moderate curb
tail tailing
recede recession
conscript conscription
paper papering
finish finisher
print printing
haggle haggling
combine combination
commission commissioner
shun shunning
baffle mystification
bag bagging
mark marker
chicane chicanery
win winner
stripe striping
save saver
plan planner
beautify beauty
hawk hawking
cycle cycling
hold holder
roof roofing
astonish astonishment
induce inducement
advertise advertisement
mystify mystification
reposition repositioning
pen penning
hit hitting
produce production
reallocate reallocation
float floater
march marching
finish finishing
write writing
enrich enrichment
coin coinage
steer steerage
cleanse cleansing
corroborate corroboration
insulate insulator
invent invention
slow slowing
navigate navigation
centralize centralization
hear hearing
appraise appraisal
communicate communication
canton cantonment
multiply multiplication
substitute substitution
suffer suffering
expend expending
reside resident
spend spending
race racer
peddle peddling
boat boating
urinate urination
torture torturing
bust buster
electrocute electrocution
undertake undertaking
puzzle puzzlement
stroll stroller
deprive deprivation
tape taping
choke choker
meddle meddler
negotiate negotiation
intrude intruder
concede conceding
circumvent circumvention
slay slaying
thin thinner
ski skier
pension pensioner
flirt flirtation
affiliate affiliation
commit committal
divide division
repress repression
repulse drive
duck ducking
carbonate carbon
pun punning
prod prodding
transform transformation
keep keeper
cup cupping
whack whacking
revolt revolution
shell shelling
infringe infringement
translate translation
qualify qualifying
infest infestation
snorkel snorkeling
analyze analyst
revert reversion
press pressing
effectuate effect
line liner
war warrior
liquify liquid
revere reverence
haul hauler
deal dealings
space spacing
strike striking
surf surfer
launder laundry
vaporize vapor
contaminate contaminant
televise television
snap snapper
imprison imprisonment
insist insisting
perfect perfection
widen widening
immunize immunization
boil boiler
pilot piloting
survey surveyor
ramp rampage
orbit orbiter
disarm disarmament
ruin ruining
omit omission
seal sealer
swab swabbing
veer veering
lodge lodgings
perpetrate perpetrator
truck trucker
earn earner
accommodate accommodation
sum summation
tip tipper
addict addiction
illuminate illumination
segregate segregation
materialize materialization
radiate radiation
reshuffle reshuffling
enjoy enjoyment
shout shouting
unveil unveiling
punt punter
size sizing
curl curler
simulate simulation
stretch stretching
reappraise reappraisal
migrate migrant
monopolize monopolization
case casing
induce inducing
snipe sniper
capitulate capitulation
exploit exploitation
root rooting
monopolize monopolist
bind bindery
thump thumping
eventuate event
intersect intersection
purchase purchasing
convene convening
submit submission
quiver quivering
feign feigning
incriminate crime
interrogate interrogator
digest digestion
retrieve retrieval
fish fishing
ransack ransacking
frame framing
avenge avenger
abhor abhorrence
delete deletion
light lighter
cite citation
tan tanning
ebb ebbing
prostrate prostration
commit commission
kill killing
prevaricate prevarication
procure procurer
heal healing
sub subbing
comprehend comprehension
nurse nursing
seal sealant
argue argumentation
detonate detonator
protest protester
operate operator
prostitute prostitution
bake baking
discourage discouragement
misunderstand misunderstanding
book booking
execute executing
submerge submersion
fix fixing
engage engagement
incorporate incorporation
expose exposure
synchronize synchronizing
celebrate celebrant
tan tannery
restore restoration
stroke stroking
contract contraction
scavenge scavenger
conciliate conciliation
demarcate demarcation
refine refinement
punish punishment
invest investiture
focus focusing
attribute attribution
read reader
sever severance
tack tacking
please pleaser
deregulate deregulating
rail railing
engrave engraving
recommend recommendation
measure measurer
prompt prompting
angle angler
banish banishment
vent venting
litigate litigation
seal sealing
join joining
donate donation
interpret interpretation
start starting
liquidate liquidation
commentate comment
procreate procreation
honor honoring
quantify quantity
hold holding
hum humming
port porter
reinforce reinforcement
compose composer
except exception
beat beating
calibrate calibration
watch watching
grasp grasping
electrify electricity
transform transformer
disfigure disfigurement
cartoon cartoonist
conduct conducting
appear appearance
maximize maximum
prospect prospector
farm farmer
personify personification
rush rushing
plate plating
proscribe proscription
err error
sculpt sculptor
intrude intrusion
impose imposition
purify purification
advertise advertising
exhibit exhibition
take taking
nourish nourishment
elaborate elaboration
replace replacement
camp camping
game gaming
conform conformance
throw thrower
economize economy
affirm affirmation
confederate confederation
convict conviction
disconnect disconnection
abuse abuser
dignify dignity
press pressure
accrue accrual
detonate detonation
savor savoring
permit permission
diversify diversity
dine diner
bowl bowler
market marketing
create creature
confess confession
heave heaver
down downer
insert insertion
fabricate fabricator
pilfer pilferage
relinquish relinquishing
bounce bouncer
shave shaving
admit admission
spot spotting
kick kicking
hijack hijacker
legitimate legitimacy
sedate sedation
register registry
cancel cancellation
haul haulage
flood flooding
waver wavering
tolerate toleration
harvest harvester
thrust thrusting
overtake overtaking
rob robber
cleave cleaver
dilate dilatation
chatter chattering
mourn mourner
hesitate hesitation
reassess reassessment
compile compiling
magnify magnitude
landscape landscaping
falsify falsification
spatter spattering
bleed bleeding
ventilate ventilator
improvise improvisation
further furtherance
dispense dispenser
deconstruct deconstruction
parachute parachuting
walk walker
breed breeding
impersonate persona
deposit deposition
blast blaster
connect connexion
transgress transgression
retrospect retrospection
direct directive
probate probation
bleed bleeder
neutralize neutralization
image imaging
cooperate cooperation
elect electorate
impute imputation
shrink shrinking
record recording
peruse perusal
signal signaling
field fielder
draw drawing
recede receding
disinfect disinfectant
instruct instructor
discuss discussion
pretend pretending
wink winking
polish polisher
detract detraction
load loading
lug luggage
till tillage
play player
locate location
irritate irritant
pass passage
detoxify detoxification
distribute distribution
rob robbery
reflect reflector
weigh weighing
transmit transmission
swindle swindler
rival rivalry
ready readying
consolidate consolidation
shear shearing
enlarge enlargement
sack sacking
heat heater
rediscover rediscovery
achieve achievement
study studying
employ employee
correspond correspondent
play playing
portray portraiture
criticize critic
kidnap kidnapping
process processor
revolve revolution
freelance freelancer
qualify qualification
exonerate exoneration
supply supplying
mix mixing
prime primer
trumpet trumpeter
test testing
question questioner
equalize equalizer
relax relaxation
annihilate annihilation
escalate escalation
transport transporter
mediate mediation
reform reformist
splash splashing
transit transition
apologize apology
bottle bottler
wave waving
respond respondent
zip zipper
wear wearing
prolong prolongation
remain remainder
forbid forbidding
personify persona
precede precedent
run runner
invert inversion
blend blender
skip skipper
revive revival
enter entry
rent rental
necessitate necessity
forest forestry
furnish furniture
resent resentment
skim skimming
concentrate concentration
gossip gossiping
lynch lynching
acknowledge acknowledgment
incubate incubator
shirk shirking
bat batting
solidify solidifying
inhibit inhibitor
defoliate defoliation
burn burner
reminisce reminiscence
saturate saturation
dissemble dissembling
recite recitation
operate operation
sap sapper
stand standing
joke joker
adjudicate adjudicator
dredge dredger
speak speaker
depress depressant
formulate formulation
strike striker
fortify fortification
stack stacker
legislate legislator
innovate innovator
portray portraying
upend upending
ventilate ventilation
elevate elevator
cater caterer
mesh meshing
grade grading
reiterate reiteration
heat heating
hurry hurrying
poach poaching
repute reputation
conceive concept
commute commuting
snoop snooper
clip clipping
green greenery
pitch pitching
hunt hunter
compete competition
thicken thickening
supervise supervisor
emphasize emphasizing
fund funding
debunk debunking
fight fighting
convert conversion
damp damper
part parting
reorganize reorganization
condition conditioning
tumble tumbling
suffocate suffocation
remit remission
shred shredder
question questioning
interview interviewer
revise revision
tend tendency
join junction
presuppose presupposition
withhold withholding
install installment
command commandant
pollute pollutant
gut gutter
inactivate inactivation
fasten fastening
sue suit
consecrate consecration
end ending
conglomerate conglomeration
use usage
concord concurrence
harass harassment
remit remittance
move motion
index indexing
reassure reassurance
prohibit prohibition
roast roasting
lobby lobbyist
swathe swathing
muse musing
purge purging
present presentation
distill distillery
thicken thickener
transplant transplanting
discontent discontentment
evaluate evaluation
overreact overreaction
enter entrance
pollute pollution
endow endowment
diminish diminution
work worker
pair pairing
meditate meditation
rule ruling
master mastering
illustrate illustrator
sling slinging
rouse rousing
demonize demon
participate participant
douse dousing
venture venturer
legislate legislature
feel feelings
pose poser
lag lagging
defame defamation
purify purity
page pager
tune tuning
goad goading
converge converging
circulate circle
inspire inspiration
finger fingering
recite recital
pray prayer
intend intention
ruminate rumen
usurp usurpation
ease easement
apply application
compute computer
refer name
abstain abstention
retract retractor
dilate dilation
establish establishment
emigrate emigration
advocate advocacy
diffuse diffusion
exhibit exhibitor
notify notification
attach attachment
intoxicate intoxication
dedicate dedication
corrupt corruption
regress regression
quote quotation
account accountant
express expression
behold beholder
irrigate irrigation
freeze freezing
constitute constitution
ride rider
forecast forecaster
elect elector
suck sucker
read reading
name citation
wholesale wholesaler
obey obedience
pass passer
count counting
persevere perseverance
dwell dwelling
titillate titillation
reckon reckoning
dismantle dismantling
quicken quickening
coordinate coordinator
devote devotion
cede cession
hack hacker
surround surroundings
claim claimant
believe believer
whisper whispering
relapse relapsing
dispose disposition
compute computation
install installing
reform reformer
evaluate value
lodge lodgement
come coming
electrify electrification
forestall forestalling
deregulate deregulation
suggest suggestion
suspect suspicion
contend contention
belong belongings
finance financing
reform reformation
begin beginning
simmer simmering
dress dressing
mutiny mutineer
announce announcement
replace replacing
join juncture
debar debarment
trail trailing
impede impediment
fit fitter
relieve reliever
mutilate mutilation
forecast forecasting
mortgage mortgagee
cremate cremation
perpetrate perpetration
deny denial
phrase phrasing
bury burial
negotiate negotiator
confide confidence
tune tuner
conceal concealing
declassify declassification
justify justification
flower flowering
precipitate precipitation
immerse immersion
add addition
confiscate confiscation
connive connivance
tease teaser
inhale inhalation
turn turner
misrepresent misrepresentation
figure figuring
abandon abandonment
reunify reunion
calculate calculation
muffle muffler
idle idling
compress compressor
invade invasion
equalize equalization
exhaust exhaustion
pack package
distort distortion
project projector
post posting
school schooling
restrain restraint
drive driving
sew sewer
modernize modernization
relinquish relinquishment
educate education
copy copier
oxygenate oxygenation
displease displeasure
govern government
tax taxer
trump trumping
blink blinking
possess possession
brew brewer
settle settling
buy buyer
filter filtration
marry married
indict indictment
love lover
accuse accusation
intervene intervention
lead leader
web webbing
dig digger
stonewall stonewalling
close closing
sound sounding
raid raider
recover recovery
ascend ascent
disappear disappearing
terminate termination
generate generator
matriculate matriculation
verify verification
blow blowing
pertain pertinence
abduct abductor
redeem redemption
pull pulling
reelect reelection
master mastery
train trainee
license licensee
diet dieting
deport deportment
act acting
cool cooler
ignite ignition
weep weeping
elude eluding
employ employer
refresh refreshment
clamor clamoring
abort abortion
coax coaxing
staple stapler
commentate commentator
win winning
bribe bribery
eliminate elimination
detain detainee
instigate instigator
slug slugger
document documentation
fire firing
breathe breather
wane waning
hang hanger
golf golfing
ferry ferrying
select selector
humiliate humiliation
elope elopement
recalculate recalculation
punch puncher
protect protector
link linkage
create creator
coexist coexistence
feel feeling
march marcher
investigate investigator
pick picking
counsel counseling
ship shipping
defend defendant
tie tier
levitate levitation
found foundation
shield shielding
sing singing
rotate rotation
realize realization
refuse refusal
plant planting
encourage encouragement
crush crushing
reason reasoning
research researcher
aggravate aggravation
beautify beautification
injure injury
shift shifting
foil foiling
predict prediction
repeat repetition
tell tale
challenge challenger
spoil spoiling
mistake mistaking
alter alteration
pace pacer
molest molestation
energize energizing
strain straining
shut shutting
export exporting
pick pickings
dissent dissenter
smoke smoking
type typist
defile defilement
sweeten sweetening
inoculate inoculating
flutter fluttering
reach reaching
erupt eruption
lunch lunching
send sending
absorb absorbent
let letter
take taker
align alignment
commune communion
shorten shortening
cast caster
ripple rippling
grapple grappling
rescue rescuer
collect collector
depict depiction
repel repellent
code coding
bump bumper
computerize computer
embezzle embezzlement
suffer sufferer
browse browser
substitute substituting
codify code
lease lessee
revolutionize revolution
deliver delivery
shake shaker
subsidize subsidy
build building
experiment experimentation
brainstorm brainstorming
organize organization
mature maturation
score scoring
react reaction
hurdle hurdling
round rounder
ordain ordinance
stow stowing
translate translator
reconnoitre reconnaissance
misstate misstatement
wax waxing
visit visiting
disbar disbarment
separate separator
publicize publicist
reimburse reimbursement
consume consumer
deduct deduction
integrate integrating
rinse rinsing
reject rejection
preempt preemption
graduate graduation
impart imparting
multiply multiplier
teach teacher
dispose disposal
falsify falsifying
shave shaver
wrangle wrangling
mail mailing
coach coaching
withdraw withdrawal
strew strewing
block blocker
devolve devolution
board boarder
fall accrual
pressurize pressure
reside residence
kill killer
mediate mediator
dye dyeing
dethrone dethronement
waste waster
maintain maintenance
consult consultation
undo undoing
smoke smoker
absolve absolution
demonstrate demonstrator
motivate motive
resign resignation
map mapping
monitor monitoring
gravitate gravity
bite biter
procure procurement
terrify terror
dismember dismemberment
originate origination
sparkle sparkling
intend intent
predispose predisposition
acclimatise climate
dissolve dissolving
signify sign
unfold unfolding
distract distraction
dominate dominance
incriminate incrimination
summarize summary
gather gatherer
estimate estimator
decompress decompressing
spit spitting
bat batter
wrestle wrestling
unmask unmasking
abolish abolishment
complete completion
associate association
whir whirring
cycle cyclist
harden hardening
narrow narrowing
enlighten enlightenment
solicit solicitation
go going
schedule scheduling
dislocate dislocation
reap reaper
manifest manifestation
nest nester
deteriorate deterioration
admire admiration
pay payment
listen listener
stagnate stagnancy
reduce reducer
sled sledding
lay layer
oppress oppression
violate violation
soar soaring
track tracker
allude allusion
steal stealing
instill instilling
attend attendance
receive receiver
conserve conservation
splinter splintering
ascribe ascription
remind reminder
imagine imagination
clothe clothing
fumigate fumigation
betray betrayal
absorb absorber
dissent dissension
frustrate frustration
refine refiner
smock smocking
deactivate deactivation
sail sailor
outfit outfitting
please pleasing
melt melter
court courting
characterize character
paint painting
deliberate deliberation
allocate allocation
buff buffer
pilot pilotage
slip slippage
collaborate collaboration
edit editor
constrict constriction
measure measurement
switch switcher
implement implementation
buzz buzzer
flirt flirting
hunt hunting
detach detachment
vary variation
intensify intensity
eject ejector
haul hauling
liquidate liquidator
insulate insulation
temper temperance
traffic trafficker
simplify simplification
rearm rearmament
stitch stitcher
frisk frisking
obliterate obliteration
creak creaking
ostracize ostracism
flee flight
bomb bombing
argue argument
streak streaker
close closure
hike hiker
waste wastage
miscalculate miscalculation
invest investment
avoid avoidance
chart chartist
infiltrate infiltration
pack packer
innovate innovation
make making
reconnoitre reconnoitring
fail failure
knit knitting
amend amendment
prefer preference
fork forking
initiate initiation
extort extortion
synchronize synchronization
trade trader
land lander
credit creditor
string stringer
energize energy
entertain entertainment
ride riding
steer steering
cleave cleavage
strangle strangling
represent representation
knock knocking
coordinate coordination
diversify diversification
utilize utility
swim swimming
limit limitation
shatter shattering
tickle tickling
employ employment
correspond correspondence
fashion fashioning
stick sticker
strengthen strengthening
stew stewing
govern governor
inject injector
stalk stalker
characterize characterization
choke choking
acquire acquiring
hanker hankering
cause causation
