TRAINING
irradiate irradiation
lodge lodger
handle handler
admire admirer
pace pacing
sculpt sculptor
relocate relocation
post posting
swindle swindler
stick sticker
deter deterrent
run runner
jut jutting
originate originator
prolong prolongation
whip whipping
interlock interlocking
economize economy
electrocute electrocution
starve starving
deviate deviation
sense sensor
shut shutter
personify personification
taste tasting
result resultant
subscribe subscription
normalize normalization
slay slaying
heave heaving
behold beholder
thump thumping
seal sealing
analyze analysis
kidnap kidnapping
legalize legalization
rush rushing
stimulate stimulant
expect expectation
bank banker
propel propellor
intrude intrusion
keep keeper
trample trampling
commemorate commemoration
reassure reassurance
shoot shooting
kick kicking
orbit orbiter
itemize item
enjoin injunction
soak soaker
restrain restraint
kidnap kidnapper
criminalize criminal
dictate dictator
compete competition
disappear disappearance
submerge submerging
argue argumentation
extend extension
conduct conductor
help helping
transport transportation
vouch voucher
hug hugging
file filing
survive survival
cease cessation
diagnose diagnosing
rattle rattling
start starter
hammer hammering
seal sealer
extend extent
persist persistence
sparkle sparkler
skateboard skateboarding
invent inventor
include inclusion
liquidate liquidator
hesitate hesitation
employ employee
grow growing
appoint appointee
defect defection
infest infestation
trace tracer
rail railing
encourage encouragement
solve solvent
bromate bromine
disinvest undress
disclaim disclaimer
construct construction
erode erosion
admonish admonition
entrench entrenchment
overvalue overvaluation
revere reverence
dehydrate dehydration
enroll enrollment
probate probation
load loader
pilfer pilferage
publish publisher
adapt adapter
export exporting
govern governing
block blocking
soften softening
gratify gratification
tamp tamper
mourn mourner
decentralize decentralization
subside subsiding
notify notice
throttle throttling
vilify vilification
misunderstand misunderstanding
wipe wiper
patronize patron
beat bafflement
distract distraction
defer deferment
harass harassment
install installment
spot spotter
glorify glorification
demarcate demarcation
vaccinate vaccinating
unionize unionization
jump jumping
interconnect interconnection
separate discrimination
opine opinion
condense condensate
hawk hawker
moor mooring
centralize centralization
miniaturize miniaturization
object objector
degrade degradation
streak streaker
dispute disputation
pale pallor
knock knocking
vanish vanishing
dampen dampener
annul annulment
aggregate aggregator
innovate innovation
sin sinner
satisfy satisfaction
close closer
organize organizer
pass passage
relate relation
pet petting
reserve reservation
simulate simulation
eat eating
settle settling
align alignment
earn earner
gamble gambler
rumble rumbling
simmer simmering
rearrange rearrangement
distill distillation
hawk hawking
entice enticement
wire wiring
dominate dominion
refresh refresher
terminate finish
rise riser
camp camper
hook hooker
count counting
ground grounding
manifest manifestation
graze grazing
intercede intercession
supply supplying
bruise bruiser
condense condensation
plan planner
inoculate inoculating
speak speech
salve salvation
schedule scheduling
machine machinist
recreate recreation
magnify magnitude
pop popping
titillate titillation
taste taster
misrepresent misrepresentation
penetrate penetration
cleave cleft
discontinue discontinuation
trounce trouncing
cooperate cooperation
reduce reducing
mesh meshing
hook hooking
arbitrage arbitrager
standardize standardization
set setting
constitute constitution
flip flipper
rid riddance
package packaging
envision envisioning
elevate elevation
ransack ransacking
canal canalization
serve server
fulfill fulfillment
greet greeting
sit sitting
fish fishery
hedge hedger
feast feasting
advise advisement
document documentary
attack attacker
stimulate stimulus
arbitrate arbiter
quell quelling
fascinate fascination
corrupt corruption
allude allusion
winnow winnowing
uplift uplifting
separate separator
pace pacer
solve solver
whisper whispering
saturate saturation
factor factoring
kill killing
judge judging
contribute contributor
stalk stalker
magnify magnification
hit hitting
pose poser
propel propellant
snort snorting
flee flight
prefer preference
resent resentment
take taker
fortify fortification
demolish demolition
depict depiction
subdivide subdivision
stifle stifling
idle idler
vomit vomiting
douse dousing
profess professing
sensitize sensitizer
pilot pilotage
depress depressant
clear clearance
dodge dodging
synthesize synthesizer
define defining
try trial
subcontract subcontractor
betray betrayal
