TRAINING
accomplish accomplishment
endure endurance
handle handler
mystify mystification
shine shining
rave raving
pop popping
understand understanding
blink blinking
stick sticker
spoil spoiler
omit omission
ramp rampage
hanker hankering
prolong prolongation
whip whipping
disseminate dissemination
nationalize nationalization
deteriorate deterioration
dominate dominion
deviate deviation
sense sensor
shut shutter
rate rating
taste tasting
extend extent
die dying
visit visitation
crush crusher
warm warming
behold beholder
evade evasion
seal sealing
presume presumption
contend contender
legalize legalization
rush rushing
hop hopper
expect expectation
mortgage mortgagee
propel propellor
locate location
keep keeper
trample trampling
recite recital
reassure reassurance
switch switcher
kick kicking
formulate formulation
imagine imagination
draw drawer
cremate cremation
count counter
kidnap kidnapper
criminalize criminal
dictate dictator
compete competition
compound compounding
submerge submerging
constrict constriction
extend extension
portray portraiture
cease cessation
transport transportation
vouch voucher
hug hugging
tile tiling
resonate resonance
establish establishment
alleviate alleviation
rattle rattling
inquire inquiry
dissent dissension
bite biter
insist insistence
perpetrate perpetrator
cricket cricketer
quarter quarters
thrill thriller
include inclusion
reform reformer
slice slicing
volunteer voluntary
cover reportage
appoint appointee
harden hardening
infest infestation
stretch stretching
facilitate facilitation
sculpt sculpture
solve solvent
bromate bromine
defect defection
farm farmer
direct director
coagulate coagulant
sleep sleeper
entrench entrenchment
overvalue overvaluation
file filing
dehydrate dehydration
enroll enrollment
loathe loathing
load loader
decode decoding
publish publisher
adapt adapter
swim swimmer
govern governing
block blocking
soften softening
gratify gratification
howl howling
mourn mourner
decentralize decentralization
eject ejection
notify notice
throttle throttling
vilify vilification
misunderstand misunderstanding
wipe wiper
patronize patron
land lander
distract distraction
partition partitioning
reinforce reinforcement
stimulate stimulus
annul annulment
glorify glorification
comfort comforter
correct correction
glamorize glamorization
excite excitement
entertain entertainment
inter interment
opine opinion
condense condensate
bark barker
automate automation
grow growth
revert reverting
object objector
convey conveyor
streak streaker
dispute disputation
delegate delegating
knock knocking
guzzle guzzling
dampen dampener
revert reversion
race racing
equate equating
format formatting
rear rearing
close closer
drum drummer
pass passage
dye dyeing
pet petting
beat bafflement
suck sucking
consecrate consecration
settle settling
time timing
temper tempering
gamble gambler
rumble rumbling
decontaminate decontamination
rearrange rearrangement
