TRAINING
idiot stupidity
ballerina grace
invalid illness
millionaire riches
child innocence
nun chastity
psychotic insanity
administrator power
expert knowledge
athlete skinny
society citizen
corpse death
menopause emotional
forgetful aloof
soldier war
scholar intelligence
pacifist peace
saint holiness
ascetic austerity
millionaire wealth
armistice peace
fire warmth
winner victory
entrepreneur wealth
baby helpless
virgin purity
TUNING
coward fear
prisoner punishment
development draft
TEST
star brightness
ice cold
child youth
