TRAINING
fire burns
showering cleanliness
learning study
sadness tears
eating fullness
tragedy tears
run sweat
repetition boredom
sex pregnancy
disagreement anger
food fullness
question answer
loss grief
tiredness sleep
disease sickness
bath cleanliness
exercise fatigue
germs sickness
experience confidence
hit injury
headache stress
sow germinate
yelling anger
cold sneeze
TUNING
education expertise
injury pain
explosion damage
TEST
digging hole
study learning
heater warmth
sweating odor
stress headache
accident damage
exercise fitness
illness discomfort
stimulus response
workout sweat
sugar energy
