TRAINING
activity boredom
sun darkness
antibiotic infection
shot disease
fungicide mold
rest exhaustion
water thirst
immunization disease
acid base
fast slow
swimming drowning
education ignorance
preparation disaster
food hunger
money poverty
fungicide fungus
cat mouse
knowledge ignorance
mediation conflict
vaccine virus
medicine illness
acetaminophen headache
happy sad
insecticide pests
TUNING
insecticide bugs
sleep tiredness
cure disease
TEST
medicine disease
locks theft
nice evil
good bad
antibiotics bacteria
sleep exhaustion
