TRAINING
sun darkness
acetaminophen headache
rest exhaustion
medicine disease
medicine illness
cat mouse
happy sad
sleep tiredness
fungicide mold
vaccine virus
shot disease
antibiotics bacteria
education ignorance
good bad
locks theft
antibiotic infection
insecticide bugs
food hunger
cure disease
activity boredom
knowledge ignorance
immunization disease
sleep exhaustion
fast slow
mediation conflict
acid base
preparation disaster
TUNING
nice evil
water thirst
money poverty
TEST
insecticide pests
swimming drowning
fungicide fungus
