TRAINING
course destination
draft essay
directions route
plan lesson
mold forms
list groceries
bible salvation
choreography performance
equation solution
pattern dress
agenda routine
script movie
model architecture
equation formula
strategy victory
map route
sketch painting
code program
instructions model
prescription medication
rules game
map journey
map city
outline composition
strategy attack
outline paper
textbook subject
deal contract
summary book
TUNING
agenda meeting
instructions game
study understanding
TEST
plan development
sketch drawing
playbook football
