TRAINING
citation violation
diploma education
badge authority
lightning thunder
pregnancy baby
sign direction
flag nation
buzzer end
wrinkle age
compass direction
rain storm
engagement wedding
bell dinner
crossbones poison
handshake agreement
cross faith
cloud moisture
crown royalty
license permission
crown sovereignty
thunder storm
smoke fire
red stop
surgery hospital
yellow caution
flashing caution
smile happiness
TUNING
doctor diagnosis
alarm action
camera distrust
TEST
warning trouble
cry help
green go
