TRAINING
reach touch
sugar cookies
title story
introduction conclusion
beginning middle
thread shirt
letter word
text index
conception birth
hydrogen water
ingestion digestion
performance applause
foreword novel
introduction speech
step journey
shoot recoil
trial arrest
pregnancy birth
word sentence
kindergarten preschool
previews movie
kiss intercourse
windup pitch
inhale smell
flirtation tryst
letters word
searing roasting
lay sleep
TUNING
paperwork appointment
meal dessert
start finish
TEST
wheel car
letter postscript
preview movie
