TRAINING
month months
decision decisions
case cases
child children
game games
owner owners
talk talks
patient patients
expert experts
death deaths
mile miles
official officials
business businesses
effort efforts
point points
person people
foot feet
leader leaders
source sources
project projects
state states
product products
school schools
artist artists
drug drugs
agency agencies
player players
candidate candidates
concern concerns
service services
analyst analysts
woman women
operation operations
party parties
team teams
man men
report reports
teacher teachers
thing things
plan plans
company companies
student students
parent parents
friend friends
job jobs
family families
hour hours
issue issues
relation relations
program programs
law laws
benefit benefits
condition conditions
day days
area areas
charge charges
event events
street streets
kid kids
dollar dollars
change changes
time times
worker workers
year years
reason reasons
standard standards
week weeks
city cities
rule rules
citizen citizens
resident residents
officer officers
price prices
country countries
voter voters
loss losses
weapon weapons
employee employees
question questions
home homes
rate rates
TUNING
authority authorities
problem problems
term terms
number numbers
line lines
investor investors
life lives
minute minutes
sale sales
TEST
sport sports
result results
allegation allegations
system systems
right rights
member members
car cars
building buildings
group groups
way ways
