TRAINING
law laws
decision decisions
case cases
child children
school schools
car cars
talk talks
patient patients
friend friends
death deaths
team teams
thing things
business businesses
student students
point points
person people
rate rates
way ways
system systems
street streets
state states
product products
hour hours
party parties
drug drugs
source sources
official officials
candidate candidates
month months
service services
relation relations
agency agencies
operation operations
standard standards
line lines
man men
woman women
teacher teachers
family families
officer officers
company companies
project projects
parent parents
right rights
job jobs
sport sports
voter voters
year years
building buildings
allegation allegations
member members
city cities
condition conditions
player players
group groups
charge charges
event events
program programs
kid kids
price prices
benefit benefits
time times
worker workers
change changes
reason reasons
expert experts
week weeks
result results
concern concerns
citizen citizens
resident residents
analyst analysts
area areas
country countries
leader leaders
loss losses
mile miles
employee employees
question questions
home homes
dollar dollars
TUNING
authority authorities
report reports
term terms
number numbers
owner owners
investor investors
life lives
rule rules
plan plans
TEST
day days
issue issues
effort efforts
problem problems
artist artists
minute minutes
weapon weapons
sale sales
foot feet
game games
