TRAINING
raise raises
use uses
offer offers
allow allows
accommodate accommodates
start starts
find finds
play plays
need needs
turn turns
save saves
leave leaves
reach reaches
say says
make makes
do does
keep keeps
bring brings
meet meets
decide decides
tell tells
require requires
seem seems
lead leads
provide provides
call calls
support supports
buy buys
feel feels
come comes
go goes
ask asks
hold holds
sell sells
join joins
discuss discusses
preserve preserves
move moves
live lives
improve improves
help helps
think thinks
consider considers
like likes
get gets
avoid avoids
see sees
run runs
return returns
work works
believe believes
extend extends
develop develops
know knows
show shows
take takes
look looks
try tries
receive receives
prove proves
happen happens
accept accepts
give gives
remain remains
begin begins
learn learns
ensure ensures
have has
want wants
earn earns
eliminate eliminates
win wins
protect protects
increase increases
end ends
build builds
create creates
serve serves
recognize recognizes
be is
open opens
TUNING
stop stops
study studies
promote promotes
understand understands
follow follows
seek seeks
include includes
produce produces
send sends
TEST
pay pays
determine determines
continue continues
become becomes
reduce reduces
stay stays
celebrate celebrates
resolve resolves
prevent prevents
