TRAINING
start starts
use uses
prevent prevents
continue continues
accommodate accommodates
help helps
provide provides
reduce reduces
believe believes
turn turns
save saves
leave leaves
determine determines
say says
stay stays
do does
keep keeps
avoid avoids
play plays
decide decides
tell tells
require requires
seem seems
lead leads
pay pays
like likes
support supports
buy buys
feel feels
come comes
go goes
ask asks
hold holds
sell sells
join joins
discuss discusses
preserve preserves
move moves
have has
improve improves
resolve resolves
think thinks
consider considers
make makes
get gets
reach reaches
see sees
run runs
offer offers
receive receives
stop stops
work works
develop develops
know knows
find finds
take takes
look looks
meet meets
become becomes
prove proves
happen happens
accept accepts
give gives
remain remains
begin begins
learn learns
ensure ensures
allow allows
want wants
earn earns
eliminate eliminates
win wins
protect protects
increase increases
end ends
build builds
create creates
serve serves
recognize recognizes
be is
open opens
TUNING
celebrate celebrates
study studies
promote promotes
understand understands
return returns
seek seeks
include includes
produce produces
send sends
TEST
show shows
bring brings
live lives
extend extends
try tries
call calls
need needs
raise raises
follow follows
