TRAINING
decides decided
builds built
moves moved
wins won
makes made
helps helped
has had
takes took
tells told
does did
seems seemed
provides provided
thinks thought
stops stopped
becomes became
remains remained
feels felt
sends sent
reduces reduced
reaches reached
sells sold
proves proved
knows knew
gives gave
says said
looks looked
understands understood
leaves left
changes changed
protects protected
increases increased
resolves resolved
learns learned
discusses discussed
develops developed
lives lived
requires required
raises raised
begins began
pays paid
brings brought
tries tried
includes included
holds held
produces produced
stays stayed
seeks sought
finds found
comes came
recognizes recognized
sees saw
starts started
preserves preserved
eliminates eliminated
likes liked
serves served
leads led
ensures ensured
happens happened
receives received
ends ended
wants wanted
prevents prevented
accepts accepted
asks asked
improves improved
considers considered
promotes promoted
uses used
is was
saves saved
continues continued
works worked
creates created
avoids avoided
needs needed
determines determined
extends extended
meets met
believes believed
celebrates celebrated
TUNING
buys bought
studies studied
goes went
turns turned
earns earned
accommodates accommodated
allows allowed
runs ran
returns returned
TEST
shows showed
plays played
gets got
keeps kept
joins joined
offers offered
opens opened
supports supported
follows followed
calls called
