TRAINING
offers offered
builds built
moves moved
wins won
knows knew
helps helped
has had
takes took
joins joined
studies studied
develops developed
begins began
thinks thought
tries tried
becomes became
remains remained
celebrates celebrated
sends sent
reduces reduced
ensures ensured
sells sold
proves proved
seeks sought
discusses discussed
says said
keeps kept
provides provided
eliminates eliminated
decides decided
returns returned
supports supported
looks looked
makes made
improves improved
earns earned
lives lived
resolves resolved
runs ran
shows showed
continues continued
brings brought
reaches reached
includes included
holds held
produces produced
stays stayed
avoids avoided
accepts accepted
comes came
recognizes recognized
sees saw
plays played
preserves preserved
understands understood
likes liked
serves served
leads led
gets got
happens happened
works worked
starts started
wants wanted
prevents prevented
ends ended
finds found
tells told
gives gave
promotes promoted
changes changed
is was
saves saved
increases increased
follows followed
feels felt
calls called
determines determined
seems seemed
extends extended
stops stopped
believes believed
receives received
TUNING
buys bought
requires required
goes went
turns turned
opens opened
accommodates accommodated
allows allowed
uses used
pays paid
TEST
leaves left
asks asked
meets met
does did
considers considered
raises raised
needs needed
protects protected
creates created
learns learned
