TRAINING
go went
ask asked
be was
prove proved
improve improved
continue continued
promote promoted
celebrate celebrated
join joined
avoid avoided
tell told
allow allowed
become became
require required
return returned
move moved
increase increased
protect protected
lead led
come came
seek sought
do did
earn earned
use used
end ended
create created
reduce reduced
serve served
hold held
help helped
recognize recognized
stay stayed
raise raised
buy bought
want wanted
play played
make made
keep kept
understand understood
reach reached
resolve resolved
start started
follow followed
build built
support supported
leave left
discuss discussed
bring brought
begin began
send sent
include included
show showed
eliminate eliminated
have had
preserve preserved
try tried
meet met
offer offered
produce produced
get got
accommodate accommodated
know knew
open opened
live lived
feel felt
save saved
think thought
like liked
believe believed
determine determined
study studied
look looked
ensure ensured
need needed
decide decided
happen happened
win won
prevent prevented
learn learned
consider considered
change changed
TUNING
work worked
provide provided
turn turned
seem seemed
develop developed
receive received
say said
run ran
call called
TEST
stop stopped
sell sold
extend extended
find found
give gave
accept accepted
pay paid
take took
remain remained
see saw
