TRAINING
include included
ask asked
be was
prove proved
improve improved
pay paid
promote promoted
celebrate celebrated
build built
avoid avoided
tell told
allow allowed
become became
require required
return returned
move moved
increase increased
see saw
find found
come came
seek sought
do did
earn earned
use used
end ended
lead led
reduce reduced
serve served
hold held
help helped
begin began
stay stayed
raise raised
buy bought
want wanted
play played
make made
keep kept
leave left
reach reached
resolve resolved
start started
follow followed
give gave
support supported
stop stopped
discuss discussed
bring brought
take took
extend extended
accept accepted
like liked
eliminate eliminated
have had
remain remained
try tried
meet met
send sent
produce produced
get got
accommodate accommodated
know knew
open opened
live lived
feel felt
save saved
think thought
sell sold
believe believed
determine determined
study studied
look looked
preserve preserved
need needed
protect protected
happen happened
win won
prevent prevented
learn learned
consider considered
change changed
TUNING
work worked
provide provided
turn turned
seem seemed
continue continued
receive received
say said
run ran
call called
TEST
understand understood
show showed
offer offered
create created
join joined
go went
develop developed
recognize recognized
ensure ensured
decide decided
