TRAINING
weld welding
advise advisory
effectuate effect
reallocate reallocation
expel expulsion
coexist coexistence
invest investing
camp camper
repulse repulsion
crack cracking
participate participant
duplicate duplication
melt melter
perspire perspiration
represent representation
embezzle embezzlement
adapt adaptation
ship shipper
obey obedience
prolong prolongation
register registry
couple coupling
weave weaving
fix fixing
theorize theory
defile defilement
direct directive
knit knitting
enroll enrollment
observe observance
quote quotation
temper tempering
exemplify example
excise excision
vary variation
distill distillate
solve solving
register registrant
thrash thrashing
exempt exemption
cushion cushioning
web webbing
implicate implication
hinder hindrance
win winning
explore exploration
rouse rousing
discontinue discontinuance
drift drifting
electrocute electrocution
pollute pollution
free freeing
smock smocking
contract contraction
compound compounding
slave slavery
grumble grumbling
account accountant
deduct deduction
smell smelling
fulfill fulfillment
wrestle wrestling
envision envisioning
flow flowing
instal installing
till tillage
pull pulling
record recorder
handle handler
interview interviewer
relegate relegation
compile compilation
invalidate invalidation
heal healer
ransack ransacking
predispose predisposition
struggle struggler
fill filler
pose posing
visit visiting
chip chipping
crave craving
facilitate facilitator
declassify declassification
overreact overreaction
soar soaring
shape shaping
inflame inflaming
terminate terminus
respond respondent
darken darkening
fumigate fume
polish polisher
thicken thickener
accentuate accent
root rooting
satisfy satisfaction
charm charmer
interconnect interconnection
investigate investigator
regulate regulation
regenerate regeneration
oxidise oxide
dine dinner
recruit recruiter
keep keeping
adjust adjustment
syndicate syndicator
initiate initiator
annihilate annihilation
maximize maximization
demonstrate demonstration
loot looter
tease teasing
corrupt corruption
preoccupy preoccupation
whirl whirling
guide guidance
moderate curb
recommend recommendation
pipe piping
learn learner
quicken quickening
evade evasion
hurry hurrying
unionize union
agitate agitator
exhume exhumation
join juncture
alter alteration
incarnate incarnation
anoint anointment
idle idling
pace pacer
prostrate prostration
disappear disappearance
accredit accreditation
bounce bouncer
feed feeder
lubricate lubricant
harmonize harmonization
undress strip
clinch clincher
stretch stretcher
replace replacement
compress compressor
broadcast broadcaster
propel propeller
reside residence
implant implantation
dethrone dethronement
depose deposition
reform reformer
shade shading
line liner
disarm disarming
anticipate foreboding
screen screening
sail sailor
slacken slackening
glorify glory
reside resident
mediate mediation
interrogate interrogation
punt punting
slay slaying
taste tasting
discriminate discrimination
segment segmentation
reflect reflector
finance financing
keep keeper
inflame inflammation
trim trimmer
remove remover
swim swimmer
bribe bribery
absorb absorption
improvise improvisation
ventilate ventilation
profess professing
enhance enhancement
edit editor
dive diver
overestimate overestimation
sweat sweater
disclaim disclaimer
advocate advocacy
dine dining
wine winery
push pushing
splinter splintering
conceal concealment
thump thumping
decontaminate decontamination
vaccinate vaccination
grill grilling
fossilize fossil
condemn condemnation
oppress oppressor
inaugurate inauguration
speak speaking
lighter lighterage
disobey disobedience
defame defamation
hear hearing
associate association
personify personification
load loader
draft draftee
amortize amortization
blast blaster
putt putter
screw bed
confess confession
tell telling
molest molestation
endorse endorser
opine opinion
detract detraction
accelerate accelerator
reiterate reiteration
settle settlement
raise raiser
profane profanation
sprint sprinter
intercept interceptor
intercede intercession
steer steering
detect detecting
escalate escalation
produce production
emasculate emasculation
celebrate celebration
estimate estimation
rearm rearmament
headline headliner
ship shipment
dissuade dissuasion
visit visitor
exclude exclusion
recommence recommencement
love lover
sweeten sweetener
invade invader
subordinate subordination
starve starving
contradict contradiction
detect detector
prescribe prescription
interfere interference
desolate desolation
catalyze catalyst
dedicate dedication
hop hopper
campaign campaigner
pick pickings
indict indictment
uplift uplifting
convalesce convalescent
sense sensation
preempt preemption
compact compaction
unload unloading
salt salting
observe observation
injure injury
move mover
vindicate vindication
brew brewer
golf golfer
map mapping
heal healing
unify unification
sit sitter
image imaging
vault vaulting
consummate consummation
green greening
publicize publicizing
bat batting
indicate indication
panel paneling
reform reformation
assail assailant
converge convergence
espouse espousal
prompt prompter
update updating
reinterpret reinterpretation
bless blessing
degrade degradation
interrupt interruption
hanker hankering
poke poking
accumulate accumulation
portray portraying
conduct conductor
inform informing
focus focusing
rewrite rewriting
bake baker
appear apparition
shift shifting
predict predictor
thrill thriller
book booking
form formation
sever severance
joke joker
deregulate deregulating
divide division
intend intention
assure assurance
perfume perfumery
crush crusher
suck sucker
post postage
drink drinker
reimpose reimposition
dub dubbing
staple stapler
examine examinee
circulate circular
reshuffle reshuffling
board boarder
precede predecessor
matriculate matriculation
invest investment
disclose disclosure
germinate germ
question questioner
inform information
make maker
distinguish distinction
monopolize monopoly
misappropriate misappropriation
enjoy enjoyment
dredge dredger
anchor anchorage
submit submission
speculate speculation
pant panting
overproduce overproduction
mop mopping
plow plowing
stroke stroking
reelect reelection
percolate percolation
avoid avoidance
tint tinting
buzz buzzer
score scorer
rave raving
tear tearing
ski skiing
eat eater
reprint reprinting
sell selling
except exception
reciprocate reciprocation
try trial
document documentary
relax relaxant
tank tankage
atone atonement
marginalize marginalization
say saying
respect respecter
deprive deprivation
snoop snooper
jewel jewelry
progress progression
appoint appointee
codify codification
relive reliving
spar sparring
illuminate illumination
sting stinging
sprout sprouting
recede receding
snort drug
adjudicate adjudicator
assist assistance
buy buyer
taste taster
sweat sweating
cook cooking
sprawl sprawling
minimize minimum
orchestrate orchestra
bomb bombing
review reviewer
heat heating
mourn mourner
discover discoverer
wake waking
cease cessation
precede precedence
heave heaving
land landing
debrief debriefing
savor relish
stagnate stagnancy
end ending
offer offering
concoct concoction
enjoin injunction
pretend pretending
lie lying
rearrange rearrangement
react reaction
deepen deepening
strangle strangulation
remember remembering
pasteurize pasteurization
compress compressing
reaffirm reaffirmation
repair repairer
advise advisor
sum summation
ratify ratification
invest investor
ferry ferrying
abolish abolishment
purchase purchaser
pair pairing
whir whirring
lower lowering
depress depressant
mortgage mortgagee
judge judging
reduce reducing
fingerprint fingerprinting
denominate denomination
haul hauling
motivate motivation
cartoon cartoonist
initiate initiation
build building
excavate excavator
cancel cancellation
remember remembrance
type typist
wade wading
move movement
reevaluate reevaluation
waste wastage
chicane chicanery
jerk jerking
enter entrant
outfit outfitter
link linkage
tick ticker
remind reminder
grant grantor
allow allowance
neutralize neutralization
distribute distributor
overstate overstatement
start starting
impersonate impersonation
note notation
duck ducking
disembark disembarkation
assign assignee
port porter
dream dreaming
describe description
tile tiling
suppose supposition
enter entry
thin thinner
activate activator
skate skating
angle angler
live living
shuffle shuffling
subside subsiding
stack stacker
stimulate stimulus
tease teaser
scatter scattering
convene convention
flower flowering
coast coaster
head heading
economize economy
circumnavigate circumnavigation
constrict constrictor
cycle cyclist
court courting
culminate culmination
assess assessor
suspend suspender
lubricate lubrication
resign resignation
lock locker
gratify gratification
ring ringing
grow growth
interrogate interrogator
cup cupping
repel repellent
hammer hammering
commemorate commemoration
tremble trembling
rediscover rediscovery
deviate deviation
hang hanging
fire firing
block blocker
take taker
transform transformer
inform informant
photocopy photocopier
judge judgment
shake shaking
provide provider
scream screaming
arraign arraignment
point pointer
disinvest undress
cultivate cultivation
deteriorate deterioration
exist existence
endorse endorsement
tune tuning
ruminate ruminant
concede conceding
feast feasting
finalize finalization
substitute substituting
strain strainer
present presentment
proceed procedure
sustain sustenance
plant planting
wreck wreckage
amputate amputation
block blocking
cook cookery
signal signaling
despair desperate
oversimplify oversimplification
circumvent circumvention
diet dietary
invite invitation
despise despising
certify certification
inter interment
watch watching
preach preaching
found founder
refresh refreshment
enhance enhancer
formulate formula
exchange exchanger
record recording
throb throbbing
redeploy redeployment
energize energy
break breaker
aggregate aggregator
spot spotting
clean cleaning
expose exposure
seize seizure
shear shearing
prefer preference
dwell dwelling
jostle jostling
track tracker
rule ruler
wax waxing
improve improver
condense condensate
meddle meddling
warm warming
raise raising
coach coaching
emulate emulation
distill distillery
diagnose diagnosis
gossip gossiping
pit pitting
switch switching
purge purging
convene convening
ferment fermenting
snip snipping
underestimate underestimation
screen screener
scale scaling
arbitrate arbitration
help helper
advertise advertisement
classify classification
complain complainant
schedule scheduling
contend contender
brawl brawler
list listing
activate activation
cite citation
encase encasement
push pusher
globalize globalization
prod prodding
clear clearing
perpetuate perpetuation
interpret interpretation
glorify glorification
foreclose foreclosure
dig digger
derogate derogation
repudiate repudiation
jam jamming
mutter muttering
repeat repeating
motor motoring
suffocate suffocation
view viewer
