TRAINING
disinvest undress
perform performer
sled sledding
sweeten sweetening
dine dining
distill distillery
seek seeking
camp camper
deter deterrence
crack cracking
participate participant
follow follower
shop shopping
slug slugger
represent representation
embezzle embezzlement
reprint reprinting
ship shipper
obey obedience
prolong prolongation
shrink shrinkage
couple coupling
weave weaving
starve starvation
scatter scattering
immobilize immobilization
roast roaster
box boxing
warm warmer
support supporter
suppose supposition
concede conceding
hiss hissing
excise excision
vary variation
distill distillate
steer steerage
communicate communication
proceed proceedings
exempt exemption
cushion cushioning
stalk stalking
implicate implication
inform informant
win winning
invest investing
deactivate deactivation
produce product
adjust adjustment
electrocute electrocution
prospect prospector
deal dealing
throttle throttling
diffuse diffusion
compound compounding
combine combining
smock smocking
stroll stroller
render rendering
smell smelling
pay payer
intoxicate intoxication
envision envisioning
etch etching
instal installing
till tillage
continue continuation
pound pounding
adjudicate judge
reiterate reiteration
rent renter
pretend pretender
punch puncher
heal healer
restrain restraint
predispose predisposition
struggle struggler
fill filler
pose posing
schedule scheduler
desalinate desalination
ally alliance
facilitate facilitator
mellow mellowing
overreact overreaction
anoint anointment
animate animator
inflame inflaming
persevere perseverance
negotiate negotiator
darken darkening
disavow disavowal
hammer hammering
thicken thickener
accentuate accent
wear wearing
master mastering
hurdle hurdler
occupy occupant
position positioning
transform transformer
grasp grasping
economize economy
dine dinner
score scorer
keep keeping
sign signer
syndicate syndicator
commentate commentator
annihilate annihilation
web webbing
demonstrate demonstration
plunder plundering
tease teasing
corrupt corruption
called calling
induce inducing
adhere adhesion
moderate curb
warm warming
taste taster
purchase purchaser
quicken quickening
evade evasion
cede cession
navigate navigation
agitate agitator
revise revising
criminalize criminal
collect collecting
incarnate incarnation
transgress transgression
design designer
intensify intensity
argue argument
crackle crackling
accredit accreditation
damn damnation
feed feeder
steal stealing
harmonize harmonization
quench quenching
clinch clincher
stretch stretcher
punt punting
compress compressor
broadcast broadcaster
recede receding
observe observance
contract contracting
print printing
expend expending
protect protection
shade shading
strip stripper
dive diving
terminate termination
advise advisory
sail sailor
slacken slackening
glorify glory
reside resident
mediate mediation
ape aper
mortgage mortgagee
slay slaying
approve approval
slack slacker
line lining
reflect reflector
conciliate conciliation
keep keeper
inflame inflammation
evaluate evaluator
remove remover
swim swimmer
document documentary
shop shopper
improvise improvisation
ventilate ventilation
flow flowing
sheet sheeting
wreck wreckage
dive diver
overestimate overestimation
sweat sweater
disclaim disclaimer
diet dieting
undertake undertaking
program programing
refuse refusal
act action
conceal concealment
thump thumping
decontaminate decontamination
vaccinate vaccination
contend contender
fossilize fossil
treat treatment
accomplish accomplishment
reinterpret reinterpretation
speak speaking
teach teaching
disobey disobedience
electrify electrification
hear hearing
associate association
personify personification
forecast forecasting
draft draftee
irritate irritation
blast blaster
putt putter
denominate denomination
confess confession
tell telling
molest molestation
hesitate hesitancy
opine opinion
detract detraction
rib ribbing
narrow narrowing
impersonate impersonation
lobby lobbyist
dock docking
sprint sprinter
ostracize ostracism
poke poker
coax coaxing
detect detecting
escalate escalation
brief briefing
emasculate emasculation
celebrate celebration
signify significance
strip stripping
destroy destruction
settle settlement
smack smacking
present presentment
exclude exclusion
switch switching
comply compliance
sweeten sweetener
pave paving
disseminate dissemination
pen penning
nationalize nationalization
admit admission
prescribe prescription
diversify diversification
revere reverence
equalize equalizer
rig rigging
eat eater
campaign campaigner
defer deferral
hawk hawker
flirt flirting
convalesce convalescent
sense sensation
preempt preemption
market marketing
unload unloading
oppress oppressor
observe observation
begin beginning
strew strewing
conquer conqueror
brew brewer
ferment fermentation
apportion apportionment
let letter
plead pleading
sit sitter
image imaging
vault vaulting
choke choking
freeze freezing
publicize publicizing
bat batting
extrapolate extrapolation
panel paneling
reform reformation
file filing
converge convergence
die death
receive reception
blackmail blackmailer
word wording
bless blessing
degrade degradation
shear shearing
wholesale wholesaler
extend extent
reimburse reimbursement
fold folder
merge merger
drug drugging
qualify qualifier
deliver delivery
kidnap kidnapper
license licenser
shift shifting
predict predictor
spill spillage
book booking
form formation
sever severance
instigate instigation
pay payment
type typing
intend intention
wreck wrecker
yield yielding
intensify intensification
meddle meddling
coordinate coordination
flatter flattery
direct directive
dub dubbing
anchor anchorage
examine examinee
circulate circular
ramp rampage
gamble gambler
vomit vomiting
matriculate matriculation
emit emission
qualify qualifying
curl curler
mumble mumbling
feed feeding
resettle resettlement
distinguish distinction
monopolize monopoly
mark marker
unify unification
locate locator
instigate instigator
erode erosion
dilute dilution
avoid avoidance
revel revelry
carpet carpeting
falsify falsity
bust buster
assassinate assassination
misread misreading
rush rusher
enlighten enlightenment
buzz buzzer
blend blender
equip equipping
tear tearing
ski skiing
shake shaking
captivate captive
mail mailer
except exception
deviate deviation
box boxer
wire wiring
relax relaxant
activate activator
rob robber
admire admiration
join juncture
respect respecter
deprive deprivation
snoop snooper
install installation
progress progression
mobilize mobilization
codify codification
mount mounting
assume assumption
illuminate illumination
sting stinging
supplant supplanting
resonate resonance
cover report
insist insisting
assist assistance
dissent dissenter
ride rider
sweat sweating
cook cooking
sprawl sprawling
seal sealant
liquidate liquidation
bomb bombing
fold folding
heat heating
purify purifier
discover discoverer
page paging
ordain ordinance
transmit transmitting
circumcise circumcision
land landing
debrief debriefing
scout scouting
collude collusion
present presenter
go goer
concoct concoction
clear clearance
consummate consummation
mill milling
emulate emulation
export exporting
deepen deepening
breathe breather
remember remembering
possess possession
compress compressing
bat batter
