TRAINING
hiding hid
enhancing enhanced
reading read
playing played
paying paid
taking took
jumping jumped
looking looked
saying said
dancing danced
knowing knew
implementing implemented
slowing slowed
spending spent
running ran
thinking thought
singing sang
screaming screamed
writing wrote
feeding fed
swimming swam
striking struck
predicting predicted
falling fell
selling sold
decreasing decreased
flying flew
vanishing vanished
sitting sat
seeing saw
listening listened
increasing increased
TUNING
hitting hit
generating generated
moving moved
walking walked
TEST
sleeping slept
shrinking shrank
describing described
going went
