TRAINING
looking looked
going went
swimming swam
shrinking shrank
striking struck
implementing implemented
taking took
sleeping slept
feeding fed
decreasing decreased
reading read
thinking thought
sitting sat
vanishing vanished
listening listened
playing played
increasing increased
hiding hid
dancing danced
jumping jumped
predicting predicted
falling fell
slowing slowed
hitting hit
knowing knew
flying flew
enhancing enhanced
moving moved
describing described
spending spent
paying paid
selling sold
TUNING
screaming screamed
walking walked
writing wrote
saying said
TEST
running ran
generating generated
singing sang
seeing saw
