TRAINING
immediate immediately
typical typically
apparent apparently
usual usually
slow slowly
unfortunate unfortunately
fortunate fortunately
occasional occasionally
most mostly
cheerful cheerfully
complete completely
calm calmly
rare rarely
swift swiftly
possible possibly
efficient efficiently
sudden suddenly
rapid rapidly
amazing amazingly
serious seriously
reluctant reluctantly
safe safely
infrequent infrequently
obvious obviously
free freely
quiet quietly
TUNING
precise precisely
happy happily
quick quickly
TEST
furious furiously
professional professionally
lucky luckily
