TRAINING
efficient inefficient
comfortable uncomfortable
decided undecided
pleasant unpleasant
competitive uncompetitive
sure unsure
acceptable unacceptable
reasonable unreasonable
informative uninformative
responsible irresponsible
impressive unimpressive
clear unclear
consistent inconsistent
honest dishonest
possible impossible
productive unproductive
convenient inconvenient
certain uncertain
aware unaware
likely unlikely
ethical unethical
informed uninformed
rational irrational
tasteful distasteful
TUNING
fortunate unfortunate
possibly impossibly
convincing unconvincing
TEST
logical illogical
known unknown
