TRAINING
walk walking
discover discovering
predict predicting
fly flying
slow slowing
dance dancing
generate generating
listen listening
scream screaming
shuffle shuffling
code coding
swim swimming
vanish vanishing
think thinking
sing singing
jump jumping
invent inventing
read reading
write writing
go going
run running
enhance enhancing
debug debugging
play playing
TUNING
say saying
sit sitting
describe describing
TEST
see seeing
look looking
move moving
decrease decreasing
implement implementing
increase increasing
