TRAINING
discover discovering
enhance enhancing
dance dancing
see seeing
run running
invent inventing
debug debugging
sit sitting
slow slowing
go going
fly flying
implement implementing
swim swimming
decrease decreasing
look looking
predict predicting
say saying
think thinking
describe describing
walk walking
read reading
listen listening
increase increasing
shuffle shuffling
write writing
scream screaming
vanish vanishing
TUNING
move moving
generate generating
sing singing
TEST
play playing
code coding
jump jumping
