TRAINING
dance dancing
enhance enhancing
swim swimming
see seeing
generate generating
slow slowing
debug debugging
run running
sing singing
discover discovering
fly flying
implement implementing
play playing
decrease decreasing
look looking
go going
say saying
think thinking
describe describing
invent inventing
jump jumping
listen listening
increase increasing
sit sitting
write writing
code coding
vanish vanishing
TUNING
move moving
read reading
scream screaming
TEST
predict predicting
walk walking
shuffle shuffling
