TRAINING
austria austrian
spain spanish
greece greek
italy italian
mexico mexican
india indian
colombia colombian
macedonia macedonian
thailand thai
korea korean
norway norwegian
cambodia cambodian
argentina argentinean
moldova moldovan
denmark danish
germany german
peru peruvian
france french
brazil brazilian
england english
russia russian
israel israeli
portugal portuguese
croatia croatian
malta maltese
bulgaria bulgarian
iceland icelandic
belarus belorussian
chile chilean
sweden swedish
egypt egyptian
slovakia slovakian
TUNING
switzerland swiss
japan japanese
poland polish
ukraine ukrainian
TEST
china chinese
ireland irish
australia australian
albania albanian
netherlands dutch
