TRAINING
efficient inefficient
comfortable uncomfortable
decided undecided
pleasant unpleasant
competitive uncompetitive
sure unsure
acceptable unacceptable
reasonable unreasonable
informative uninformative
responsible irresponsible
aware unaware
clear unclear
consistent inconsistent
honest dishonest
possible impossible
tasteful distasteful
convenient inconvenient
certain uncertain
logical illogical
likely unlikely
ethical unethical
informed uninformed
rational irrational
known unknown
TUNING
fortunate unfortunate
possibly impossibly
convincing unconvincing
TEST
impressive unimpressive
productive unproductive
